,all_100,all_101
1361,10.0,6.0
1362,6.0,7.0
1363,9.0,10.0
1364,10.0,11.0
1365,12.0,11.0
1366,14.0,15.0
1367,17.0,18.0
1368,18.0,20.0
1369,18.0,22.0
1370,21.0,22.0
1371,22.0,22.0
1372,23.0,23.0
1373,23.0,28.0
1374,27.0,30.0
1375,24.0,24.0
1376,24.0,22.0
1377,23.0,20.0
1378,21.0,19.0
1379,19.0,18.0
1380,18.0,17.0
1381,17.0,14.0
1382,18.0,13.0
1383,14.0,9.0
1384,13.0,6.0
1385,13.0,5.0
1386,12.0,2.0
1387,13.0,3.0
1388,13.0,5.0
1389,14.0,7.0
1390,16.0,7.0
1391,17.0,9.0
1392,17.0,11.0
1393,19.0,15.0
1394,19.0,19.0
1395,21.0,20.0
1396,25.0,22.0
1397,25.0,24.0
1398,25.0,24.0
1399,21.0,21.0
1400,21.0,20.0
1401,17.0,23.0
1402,16.0,23.0
1403,14.0,22.0
1404,14.0,18.0
1405,12.0,15.0
1406,9.0,15.0
1407,6.0,17.0
1408,4.0,18.0
1409,3.0,16.0
1410,3.0,15.0
1411,3.0,17.0
1412,5.0,21.0
1413,6.0,21.0
1414,8.0,21.0
1415,8.0,22.0
1416,9.0,24.0
1417,11.0,26.0
1418,13.0,28.0
1419,15.0,28.0
1420,17.0,29.0
1421,18.0,29.0
1422,20.0,29.0
1423,17.0,27.0
1424,16.0,26.0
1425,18.0,26.0
1426,18.0,25.0
1427,17.0,21.0
1428,15.0,21.0
1429,16.0,18.0
1430,13.0,17.0
1431,11.0,17.0
1432,8.0,17.0
1433,9.0,16.0
1434,9.0,14.0
1435,13.0,16.0
1436,15.0,16.0
1437,18.0,18.0
1438,20.0,21.0
1439,20.0,22.0
1440,20.0,22.0
1441,20.0,25.0
1442,20.0,26.0
1443,20.0,28.0
1444,22.0,30.0
1445,22.0,30.0
1446,23.0,32.0
1447,20.0,28.0
1448,16.0,24.0
1449,16.0,24.0
1450,15.0,23.0
1451,12.0,21.0
1452,13.0,21.0
1453,9.0,21.0
1454,7.0,21.0
1455,9.0,18.0
1456,9.0,15.0
1457,8.0,13.0
1458,7.0,8.0
1459,8.0,9.0
1460,9.0,11.0
1461,10.0,14.0
1462,12.0,14.0
1463,14.0,15.0
1464,14.0,18.0
1465,15.0,18.0
1466,15.0,18.0
1467,18.0,19.0
1468,21.0,20.0
1469,22.0,20.0
1470,23.0,21.0
1471,18.0,17.0
1472,15.0,14.0
1473,16.0,15.0
1474,16.0,13.0
1475,17.0,11.0
1476,19.0,13.0
1477,18.0,11.0
1478,18.0,10.0
1479,17.0,6.0
1480,13.0,4.0
1481,10.0,3.0
1482,7.0,4.0
1483,8.0,7.0
1484,8.0,8.0
1485,9.0,11.0
1486,10.0,11.0
1487,10.0,11.0
1488,10.0,12.0
1489,10.0,14.0
1490,10.0,16.0
1491,10.0,16.0
1492,12.0,18.0
1493,12.0,18.0
1494,13.0,19.0
1495,8.0,13.0
1496,8.0,12.0
1497,9.0,11.0
1498,8.0,11.0
1499,9.0,12.0
1500,10.0,14.0
1501,8.0,15.0
1502,6.0,11.0
1503,3.0,7.0
1504,1.0,8.0
1505,1.0,7.0
1506,3.0,4.0
1507,4.0,5.0
1508,7.0,6.0
1509,8.0,9.0
1510,8.0,10.0
1511,10.0,11.0
1512,11.0,13.0
1513,12.0,16.0
1514,12.0,17.0
1515,12.0,21.0
1516,14.0,23.0
1517,16.0,24.0
1518,18.0,25.0
1519,12.0,21.0
1520,13.0,20.0
1521,12.0,20.0
1522,10.0,18.0
1523,9.0,17.0
1524,8.0,15.0
1525,5.0,13.0
1526,3.0,13.0
1527,4.0,13.0
1528,6.0,11.0
1529,4.0,8.0
1530,4.0,5.0
1531,5.0,6.0
1532,7.0,9.0
1533,8.0,12.0
1534,10.0,13.0
1535,11.0,16.0
1536,11.0,18.0
1537,12.0,19.0
1538,14.0,22.0
1539,14.0,22.0
1540,15.0,22.0
1541,17.0,23.0
1542,19.0,24.0
1543,14.0,21.0
1544,11.0,20.0
1545,10.0,20.0
1546,9.0,18.0
1547,8.0,18.0
1548,9.0,16.0
1549,6.0,18.0
1550,5.0,18.0
1551,6.0,16.0
1552,6.0,13.0
1553,3.0,11.0
1554,5.0,6.0
1555,6.0,6.0
1556,6.0,6.0
1557,9.0,8.0
1558,10.0,8.0
1559,11.0,8.0
1560,12.0,12.0
1561,13.0,14.0
1562,15.0,15.0
1563,17.0,16.0
1564,19.0,16.0
1565,21.0,19.0
1566,22.0,20.0
1567,18.0,17.0
1568,16.0,17.0
1569,14.0,16.0
1570,15.0,15.0
1571,15.0,14.0
1572,12.0,13.0
1573,13.0,10.0
1574,11.0,11.0
1575,7.0,12.0
1576,3.0,10.0
1577,1.0,10.0
1578,2.0,10.0
1579,6.0,11.0
1580,6.0,11.0
1581,7.0,11.0
1582,8.0,12.0
1583,8.0,14.0
1584,9.0,17.0
1585,12.0,18.0
1586,14.0,22.0
1587,15.0,26.0
1588,16.0,29.0
1589,17.0,29.0
1590,20.0,31.0
1591,14.0,27.0
1592,13.0,22.0
1593,12.0,21.0
1594,12.0,20.0
1595,11.0,19.0
1596,10.0,17.0
1597,9.0,14.0
1598,10.0,11.0
1599,8.0,11.0
1600,6.0,11.0
1601,4.0,12.0
1602,4.0,11.0
1603,5.0,12.0
1604,8.0,14.0
1605,9.0,17.0
1606,10.0,18.0
1607,10.0,18.0
1608,14.0,17.0
1609,15.0,18.0
1610,16.0,19.0
1611,18.0,21.0
1612,20.0,23.0
1613,21.0,23.0
1614,21.0,25.0
1615,17.0,21.0
1616,16.0,15.0
1617,14.0,17.0
1618,14.0,16.0
1619,14.0,14.0
1620,18.0,11.0
1621,17.0,9.0
1622,16.0,6.0
1623,15.0,9.0
1624,13.0,6.0
1625,13.0,5.0
1626,9.0,5.0
1627,10.0,5.0
1628,10.0,5.0
1629,14.0,6.0
1630,16.0,8.0
1631,18.0,11.0
1632,19.0,12.0
1633,20.0,13.0
1634,20.0,14.0
1635,20.0,18.0
1636,20.0,20.0
1637,22.0,20.0
1638,22.0,22.0
1639,19.0,17.0
1640,15.0,13.0
1641,14.0,15.0
1642,11.0,14.0
1643,7.0,16.0
1644,8.0,12.0
1645,7.0,11.0
1646,9.0,9.0
1647,6.0,7.0
1648,6.0,6.0
1649,5.0,3.0
1650,3.0,3.0
1651,4.0,5.0
1652,7.0,7.0
1653,10.0,9.0
1654,11.0,10.0
1655,13.0,11.0
1656,13.0,11.0
1657,13.0,11.0
1658,17.0,12.0
1659,17.0,13.0
1660,17.0,14.0
1661,19.0,14.0
1662,20.0,14.0
1663,18.0,11.0
1664,15.0,11.0
1665,11.0,11.0
1666,15.0,10.0
1667,15.0,8.0
1668,14.0,6.0
1669,10.0,5.0
1670,5.0,4.0
1671,5.0,3.0
1672,4.0,2.0
1673,3.0,6.0
1674,4.0,5.0
1675,4.0,7.0
1676,6.0,7.0
1677,7.0,8.0
1678,8.0,9.0
1679,8.0,10.0
1680,9.0,12.0
1681,10.0,13.0
1682,12.0,13.0
1683,16.0,14.0
1684,18.0,14.0
1685,19.0,15.0
1686,22.0,17.0
1687,18.0,13.0
1688,15.0,9.0
1689,18.0,7.0
1690,20.0,6.0
1691,23.0,7.0
1692,21.0,5.0
1693,20.0,4.0
1694,18.0,3.0
1695,16.0,3.0
1696,11.0,2.0
1697,11.0,1.0
1698,9.0,1.0
1699,12.0,2.0
1700,14.0,2.0
1701,18.0,3.0
1702,18.0,3.0
1703,18.0,3.0
1704,18.0,3.0
1705,20.0,3.0
1706,20.0,4.0
1707,20.0,5.0
1708,20.0,5.0
1709,21.0,6.0
1710,23.0,8.0
1711,16.0,5.0
1712,14.0,2.0
1713,14.0,4.0
1714,13.0,5.0
1715,11.0,4.0
1716,9.0,2.0
1717,8.0,2.0
1718,6.0,2.0
1719,4.0,2.0
1720,5.0,4.0
1721,6.0,3.0
1722,5.0,1.0
1723,6.0,1.0
1724,6.0,2.0
1725,7.0,6.0
1726,7.0,7.0
1727,7.0,7.0
1728,8.0,8.0
1729,9.0,9.0
1730,10.0,10.0
1731,11.0,11.0
1732,11.0,11.0
1733,11.0,11.0
1734,13.0,12.0
1735,9.0,8.0
1736,8.0,6.0
1737,9.0,6.0
1738,9.0,6.0
1739,9.0,5.0
1740,7.0,5.0
1741,5.0,4.0
1742,3.0,6.0
1743,4.0,5.0
1744,3.0,5.0
1745,4.0,2.0
1746,3.0,0.0
1747,4.0,2.0
1748,4.0,4.0
1749,6.0,6.0
1750,8.0,8.0
1751,8.0,10.0
1752,10.0,11.0
1753,10.0,12.0
1754,10.0,13.0
1755,11.0,14.0
1756,11.0,15.0
1757,13.0,16.0
1758,14.0,16.0
1759,10.0,12.0
1760,9.0,12.0
1761,9.0,11.0
1762,7.0,10.0
1763,7.0,11.0
1764,7.0,12.0
1765,5.0,9.0
1766,3.0,6.0
1767,2.0,5.0
1768,5.0,6.0
1769,3.0,7.0
1770,2.0,7.0
1771,3.0,8.0
1772,4.0,8.0
1773,7.0,10.0
1774,7.0,11.0
1775,7.0,12.0
1776,10.0,13.0
1777,11.0,14.0
1778,11.0,15.0
1779,13.0,16.0
1780,14.0,20.0
1781,14.0,21.0
1782,14.0,23.0
1783,10.0,18.0
1784,8.0,13.0
1785,6.0,13.0
1786,5.0,14.0
1787,4.0,15.0
1788,2.0,13.0
1789,1.0,11.0
1790,3.0,9.0
1791,3.0,5.0
1792,2.0,7.0
1793,2.0,7.0
1794,3.0,4.0
1795,4.0,4.0
1796,10.0,6.0
1797,10.0,8.0
1798,10.0,9.0
1799,10.0,10.0
1800,13.0,12.0
1801,14.0,16.0
1802,14.0,19.0
1803,18.0,20.0
1804,19.0,24.0
1805,20.0,24.0
1806,21.0,24.0
1807,16.0,21.0
1808,14.0,17.0
1809,11.0,16.0
1810,10.0,18.0
1811,9.0,17.0
1812,8.0,19.0
1813,5.0,17.0
1814,4.0,17.0
1815,2.0,14.0
1816,1.0,11.0
1817,1.0,7.0
1818,5.0,4.0
1819,5.0,4.0
1820,8.0,5.0
1821,9.0,8.0
1822,10.0,10.0
1823,11.0,13.0
1824,14.0,14.0
1825,14.0,14.0
1826,14.0,15.0
1827,14.0,20.0
1828,16.0,21.0
1829,18.0,21.0
1830,19.0,22.0
1831,15.0,19.0
1832,11.0,21.0
1833,11.0,18.0
1834,13.0,19.0
1835,14.0,18.0
1836,15.0,19.0
1837,11.0,17.0
1838,6.0,15.0
1839,2.0,14.0
1840,3.0,15.0
1841,3.0,13.0
1842,5.0,12.0
1843,5.0,12.0
1844,6.0,12.0
1845,6.0,12.0
1846,6.0,12.0
1847,8.0,14.0
1848,11.0,14.0
1849,11.0,14.0
1850,12.0,15.0
1851,12.0,15.0
1852,12.0,15.0
1853,12.0,15.0
1854,14.0,15.0
1855,8.0,11.0
1856,6.0,8.0
1857,7.0,11.0
1858,11.0,11.0
1859,12.0,10.0
1860,13.0,7.0
1861,12.0,5.0
1862,9.0,2.0
1863,5.0,1.0
1864,3.0,1.0
1865,3.0,1.0
1866,5.0,4.0
1867,6.0,5.0
1868,9.0,6.0
1869,11.0,7.0
1870,11.0,6.0
1871,11.0,8.0
1872,12.0,9.0
1873,13.0,10.0
1874,14.0,11.0
1875,14.0,12.0
1876,15.0,12.0
1877,17.0,15.0
1878,17.0,17.0
1879,14.0,14.0
1880,10.0,12.0
1881,8.0,15.0
1882,8.0,12.0
1883,7.0,13.0
1884,7.0,10.0
1885,6.0,8.0
1886,4.0,8.0
1887,5.0,5.0
1888,6.0,4.0
1889,6.0,2.0
1890,2.0,1.0
1891,3.0,2.0
1892,4.0,5.0
1893,4.0,6.0
1894,5.0,8.0
1895,8.0,8.0
1896,9.0,8.0
1897,10.0,9.0
1898,10.0,9.0
1899,12.0,10.0
1900,12.0,13.0
1901,12.0,14.0
1902,12.0,16.0
1903,8.0,14.0
1904,8.0,16.0
1905,8.0,16.0
1906,9.0,12.0
1907,5.0,10.0
1908,4.0,10.0
1909,3.0,11.0
1910,5.0,11.0
1911,5.0,10.0
1912,4.0,6.0
1913,3.0,5.0
1914,4.0,3.0
1915,7.0,3.0
1916,8.0,6.0
1917,9.0,6.0
1918,10.0,8.0
1919,12.0,10.0
1920,15.0,10.0
1921,16.0,11.0
1922,17.0,13.0
1923,19.0,15.0
1924,21.0,15.0
1925,21.0,18.0
1926,25.0,19.0
1927,21.0,17.0
1928,19.0,15.0
1929,22.0,13.0
1930,21.0,14.0
1931,17.0,13.0
1932,14.0,12.0
1933,10.0,12.0
1934,9.0,11.0
1935,9.0,9.0
1936,8.0,7.0
1937,4.0,5.0
1938,2.0,2.0
1939,4.0,2.0
1940,4.0,3.0
1941,4.0,9.0
1942,6.0,11.0
1943,6.0,14.0
1944,6.0,16.0
1945,7.0,16.0
1946,8.0,16.0
1947,8.0,18.0
1948,11.0,20.0
1949,12.0,21.0
1950,15.0,21.0
1951,12.0,16.0
1952,13.0,13.0
1953,12.0,14.0
1954,12.0,13.0
1955,14.0,12.0
1956,16.0,12.0
1957,13.0,11.0
1958,15.0,9.0
1959,14.0,6.0
1960,12.0,7.0
1961,8.0,7.0
1962,5.0,7.0
1963,5.0,8.0
1964,6.0,8.0
1965,8.0,10.0
1966,11.0,10.0
1967,11.0,11.0
1968,11.0,12.0
1969,11.0,13.0
1970,13.0,16.0
1971,14.0,17.0
1972,16.0,18.0
1973,19.0,20.0
1974,21.0,20.0
1975,19.0,14.0
1976,19.0,12.0
1977,18.0,12.0
1978,17.0,9.0
1979,14.0,11.0
1980,15.0,13.0
1981,16.0,14.0
1982,13.0,11.0
1983,9.0,8.0
1984,8.0,5.0
1985,5.0,6.0
1986,3.0,6.0
1987,4.0,6.0
1988,5.0,7.0
1989,5.0,9.0
1990,6.0,11.0
1991,6.0,13.0
1992,6.0,13.0
1993,7.0,13.0
1994,7.0,14.0
1995,7.0,15.0
1996,7.0,15.0
1997,8.0,15.0
1998,10.0,15.0
1999,8.0,13.0
2000,8.0,11.0
2001,7.0,11.0
2002,5.0,10.0
2003,4.0,8.0
2004,5.0,7.0
2005,6.0,8.0
2006,7.0,9.0
2007,6.0,6.0
2008,5.0,3.0
2009,4.0,2.0
2010,3.0,4.0
2011,4.0,7.0
2012,5.0,8.0
2013,8.0,9.0
2014,10.0,9.0
2015,12.0,10.0
2016,12.0,14.0
2017,12.0,16.0
2018,12.0,16.0
2019,13.0,17.0
2020,14.0,20.0
2021,15.0,22.0
2022,16.0,23.0
2023,9.0,17.0
2024,6.0,18.0
2025,8.0,18.0
2026,8.0,16.0
2027,6.0,17.0
2028,6.0,15.0
2029,7.0,15.0
2030,6.0,12.0
2031,8.0,9.0
2032,5.0,6.0
2033,3.0,5.0
2034,4.0,3.0
2035,6.0,3.0
2036,6.0,7.0
2037,7.0,8.0
2038,7.0,8.0
2039,7.0,9.0
2040,7.0,9.0
2041,8.0,10.0
2042,10.0,11.0
2043,10.0,13.0
2044,12.0,14.0
2045,13.0,14.0
2046,14.0,16.0
2047,12.0,11.0
2048,12.0,11.0
2049,15.0,10.0
2050,15.0,10.0
2051,14.0,9.0
2052,11.0,6.0
2053,5.0,6.0
2054,1.0,7.0
2055,0.0,7.0
2056,0.0,6.0
2057,1.0,10.0
2058,3.0,8.0
2059,4.0,11.0
2060,5.0,13.0
2061,7.0,14.0
2062,9.0,15.0
2063,10.0,17.0
2064,10.0,18.0
2065,11.0,19.0
2066,12.0,20.0
2067,13.0,21.0
2068,13.0,23.0
2069,15.0,23.0
2070,16.0,23.0
2071,13.0,17.0
2072,12.0,13.0
2073,12.0,10.0
2074,10.0,8.0
2075,8.0,9.0
2076,7.0,8.0
2077,7.0,10.0
2078,5.0,8.0
2079,4.0,7.0
2080,4.0,6.0
2081,2.0,5.0
2082,2.0,5.0
2083,3.0,7.0
2084,4.0,7.0
2085,5.0,6.0
2086,7.0,6.0
2087,8.0,8.0
2088,10.0,9.0
2089,10.0,11.0
2090,15.0,11.0
2091,15.0,15.0
2092,15.0,15.0
2093,16.0,15.0
2094,18.0,16.0
2095,13.0,13.0
2096,13.0,10.0
2097,14.0,8.0
2098,14.0,8.0
2099,12.0,8.0
2100,11.0,10.0
2101,8.0,7.0
2102,6.0,7.0
2103,3.0,4.0
2104,3.0,2.0
2105,4.0,3.0
2106,6.0,2.0
2107,6.0,2.0
2108,8.0,2.0
2109,8.0,3.0
2110,8.0,5.0
2111,9.0,8.0
2112,11.0,10.0
2113,13.0,12.0
2114,14.0,13.0
2115,18.0,13.0
2116,19.0,13.0
2117,24.0,14.0
2118,25.0,15.0
2119,22.0,12.0
2120,19.0,11.0
2121,17.0,10.0
2122,17.0,8.0
2123,17.0,7.0
2124,21.0,7.0
2125,20.0,6.0
2126,18.0,4.0
2127,15.0,3.0
2128,15.0,1.0
2129,12.0,3.0
2130,11.0,3.0
2131,13.0,3.0
2132,14.0,8.0
2133,16.0,14.0
2134,17.0,15.0
2135,19.0,15.0
2136,20.0,16.0
2137,20.0,18.0
2138,20.0,20.0
2139,22.0,21.0
2140,23.0,22.0
2141,23.0,24.0
2142,24.0,24.0
2143,17.0,21.0
2144,15.0,22.0
2145,14.0,24.0
2146,15.0,22.0
2147,14.0,19.0
2148,13.0,15.0
2149,11.0,14.0
2150,11.0,14.0
2151,10.0,15.0
2152,9.0,14.0
2153,9.0,11.0
2154,9.0,9.0
2155,9.0,10.0
2156,10.0,11.0
2157,11.0,11.0
2158,10.0,12.0
2159,10.0,16.0
2160,11.0,16.0
2161,12.0,18.0
2162,13.0,18.0
2163,13.0,19.0
2164,14.0,21.0
2165,15.0,24.0
2166,18.0,27.0
2167,15.0,26.0
2168,14.0,21.0
2169,14.0,19.0
2170,13.0,20.0
2171,16.0,17.0
2172,13.0,15.0
2173,12.0,17.0
2174,11.0,14.0
2175,9.0,10.0
2176,6.0,6.0
2177,4.0,4.0
2178,3.0,6.0
2179,5.0,9.0
2180,5.0,9.0
2181,5.0,9.0
2182,7.0,10.0
2183,7.0,11.0
2184,8.0,13.0
2185,10.0,15.0
2186,12.0,15.0
2187,13.0,19.0
2188,15.0,20.0
2189,15.0,23.0
2190,18.0,23.0
2191,13.0,19.0
2192,11.0,17.0
2193,10.0,17.0
2194,8.0,20.0
2195,10.0,21.0
2196,9.0,20.0
2197,10.0,18.0
2198,9.0,16.0
2199,7.0,13.0
2200,8.0,10.0
2201,8.0,7.0
2202,5.0,5.0
2203,5.0,5.0
2204,6.0,9.0
2205,8.0,10.0
2206,9.0,10.0
2207,11.0,12.0
2208,13.0,13.0
2209,14.0,14.0
2210,15.0,14.0
2211,16.0,14.0
2212,18.0,14.0
2213,18.0,16.0
2214,18.0,17.0
2215,12.0,13.0
2216,12.0,11.0
2217,10.0,11.0
2218,11.0,14.0
2219,9.0,11.0
2220,7.0,12.0
2221,9.0,9.0
2222,7.0,6.0
2223,9.0,8.0
2224,9.0,8.0
2225,8.0,7.0
2226,5.0,7.0
2227,4.0,9.0
2228,5.0,9.0
2229,6.0,9.0
2230,6.0,8.0
2231,7.0,9.0
2232,9.0,9.0
2233,9.0,10.0
2234,11.0,11.0
2235,12.0,11.0
2236,13.0,14.0
2237,14.0,15.0
2238,15.0,17.0
2239,12.0,16.0
2240,11.0,12.0
2241,8.0,12.0
2242,6.0,12.0
2243,7.0,11.0
2244,6.0,13.0
2245,4.0,11.0
2246,3.0,7.0
2247,1.0,8.0
2248,1.0,7.0
2249,2.0,4.0
2250,1.0,2.0
2251,3.0,3.0
2252,5.0,4.0
2253,6.0,5.0
2254,6.0,6.0
2255,9.0,8.0
2256,10.0,9.0
2257,11.0,10.0
2258,11.0,12.0
2259,14.0,13.0
2260,14.0,14.0
2261,16.0,14.0
2262,18.0,14.0
2263,13.0,13.0
2264,10.0,11.0
2265,11.0,10.0
2266,12.0,9.0
2267,15.0,10.0
2268,12.0,10.0
2269,10.0,6.0
2270,8.0,4.0
2271,6.0,3.0
2272,5.0,4.0
2273,4.0,2.0
2274,3.0,1.0
2275,5.0,1.0
2276,5.0,5.0
2277,7.0,6.0
2278,9.0,7.0
2279,10.0,8.0
2280,10.0,9.0
2281,11.0,9.0
2282,12.0,11.0
2283,15.0,12.0
2284,17.0,14.0
2285,17.0,17.0
2286,18.0,21.0
2287,17.0,19.0
2288,15.0,18.0
2289,15.0,15.0
2290,15.0,14.0
2291,14.0,13.0
2292,12.0,12.0
2293,10.0,13.0
2294,10.0,10.0
2295,9.0,8.0
2296,11.0,7.0
2297,9.0,4.0
2298,7.0,6.0
2299,11.0,7.0
2300,12.0,8.0
2301,13.0,9.0
2302,13.0,10.0
2303,14.0,12.0
2304,16.0,14.0
2305,17.0,15.0
2306,18.0,17.0
2307,18.0,18.0
2308,18.0,20.0
2309,18.0,21.0
2310,19.0,21.0
2311,13.0,15.0
2312,13.0,15.0
2313,12.0,13.0
2314,11.0,14.0
2315,11.0,14.0
2316,11.0,14.0
2317,7.0,13.0
2318,4.0,11.0
2319,2.0,8.0
2320,4.0,9.0
2321,2.0,7.0
2322,0.0,5.0
2323,1.0,5.0
2324,4.0,5.0
2325,5.0,7.0
2326,6.0,8.0
2327,7.0,8.0
2328,8.0,8.0
2329,10.0,9.0
2330,11.0,11.0
2331,13.0,12.0
2332,13.0,13.0
2333,15.0,14.0
2334,16.0,14.0
2335,14.0,10.0
2336,14.0,8.0
2337,17.0,9.0
2338,15.0,10.0
2339,13.0,10.0
2340,14.0,10.0
2341,14.0,7.0
2342,10.0,6.0
2343,8.0,5.0
2344,8.0,2.0
2345,9.0,2.0
2346,9.0,1.0
2347,11.0,2.0
2348,10.0,3.0
2349,10.0,3.0
2350,13.0,4.0
2351,16.0,6.0
2352,19.0,6.0
2353,20.0,7.0
2354,21.0,8.0
2355,22.0,10.0
2356,23.0,12.0
2357,23.0,12.0
2358,24.0,14.0
2359,20.0,11.0
2360,17.0,11.0
2361,18.0,13.0
2362,17.0,12.0
2363,16.0,12.0
2364,15.0,8.0
2365,13.0,8.0
2366,11.0,5.0
2367,8.0,4.0
2368,8.0,3.0
2369,8.0,4.0
2370,7.0,3.0
2371,8.0,3.0
2372,9.0,4.0
2373,10.0,5.0
2374,11.0,5.0
2375,13.0,6.0
2376,13.0,9.0
2377,14.0,12.0
2378,16.0,14.0
2379,19.0,15.0
2380,20.0,16.0
2381,21.0,17.0
2382,24.0,20.0
2383,19.0,16.0
2384,16.0,14.0
2385,14.0,15.0
2386,13.0,15.0
2387,13.0,12.0
2388,10.0,12.0
2389,11.0,12.0
2390,9.0,12.0
2391,8.0,11.0
2392,6.0,10.0
2393,5.0,6.0
2394,4.0,3.0
2395,4.0,3.0
2396,4.0,4.0
2397,5.0,8.0
2398,6.0,9.0
2399,7.0,10.0
2400,8.0,10.0
2401,9.0,12.0
2402,9.0,13.0
2403,10.0,15.0
2404,14.0,17.0
2405,15.0,18.0
2406,15.0,21.0
2407,12.0,18.0
2408,11.0,17.0
2409,13.0,17.0
2410,12.0,16.0
2411,10.0,13.0
2412,7.0,15.0
2413,8.0,17.0
2414,6.0,18.0
2415,4.0,17.0
2416,2.0,14.0
2417,3.0,8.0
2418,5.0,3.0
2419,6.0,5.0
2420,7.0,6.0
2421,8.0,7.0
2422,7.0,8.0
2423,10.0,8.0
2424,11.0,10.0
2425,16.0,10.0
2426,17.0,10.0
2427,17.0,11.0
2428,18.0,13.0
2429,21.0,15.0
2430,24.0,16.0
2431,23.0,14.0
2432,22.0,15.0
2433,23.0,16.0
2434,24.0,17.0
2435,22.0,14.0
2436,19.0,11.0
2437,16.0,10.0
2438,15.0,9.0
2439,13.0,5.0
2440,14.0,2.0
2441,13.0,1.0
2442,11.0,1.0
2443,11.0,1.0
2444,12.0,4.0
2445,15.0,4.0
2446,15.0,4.0
2447,16.0,6.0
2448,16.0,7.0
2449,16.0,8.0
2450,16.0,10.0
2451,16.0,12.0
2452,16.0,13.0
2453,21.0,14.0
2454,22.0,17.0
2455,15.0,14.0
2456,12.0,14.0
2457,11.0,14.0
2458,9.0,14.0
2459,9.0,14.0
2460,10.0,12.0
2461,10.0,10.0
2462,12.0,13.0
2463,10.0,10.0
2464,8.0,8.0
2465,6.0,4.0
2466,4.0,4.0
2467,7.0,7.0
2468,11.0,7.0
2469,11.0,7.0
2470,13.0,10.0
2471,16.0,11.0
2472,18.0,12.0
2473,19.0,13.0
2474,19.0,16.0
2475,21.0,17.0
2476,21.0,18.0
2477,21.0,19.0
2478,23.0,20.0
2479,17.0,19.0
2480,15.0,18.0
2481,15.0,18.0
2482,15.0,17.0
2483,14.0,20.0
2484,11.0,22.0
2485,10.0,20.0
2486,11.0,19.0
2487,8.0,16.0
2488,5.0,14.0
2489,5.0,9.0
2490,3.0,9.0
2491,6.0,10.0
2492,7.0,13.0
2493,7.0,14.0
2494,9.0,15.0
2495,9.0,15.0
2496,10.0,16.0
2497,11.0,18.0
2498,12.0,21.0
2499,13.0,21.0
2500,14.0,21.0
2501,17.0,22.0
2502,18.0,22.0
2503,15.0,19.0
2504,15.0,17.0
2505,13.0,14.0
2506,14.0,13.0
2507,14.0,11.0
2508,16.0,9.0
2509,13.0,9.0
2510,11.0,7.0
2511,12.0,6.0
2512,9.0,5.0
2513,6.0,4.0
2514,4.0,4.0
2515,5.0,7.0
2516,5.0,8.0
2517,7.0,11.0
2518,10.0,12.0
2519,11.0,15.0
2520,12.0,15.0
2521,15.0,15.0
2522,18.0,15.0
2523,18.0,15.0
2524,19.0,18.0
2525,20.0,19.0
2526,20.0,21.0
2527,18.0,18.0
2528,17.0,18.0
2529,16.0,16.0
2530,14.0,16.0
2531,17.0,14.0
2532,18.0,13.0
2533,19.0,11.0
2534,15.0,10.0
2535,12.0,8.0
2536,10.0,7.0
2537,10.0,5.0
2538,6.0,8.0
2539,12.0,8.0
2540,14.0,9.0
2541,14.0,13.0
2542,17.0,15.0
2543,19.0,17.0
2544,22.0,18.0
2545,22.0,18.0
2546,24.0,19.0
2547,24.0,24.0
2548,26.0,27.0
2549,26.0,28.0
2550,29.0,28.0
2551,27.0,23.0
2552,24.0,19.0
2553,24.0,17.0
2554,22.0,17.0
2555,19.0,18.0
2556,19.0,18.0
2557,18.0,14.0
2558,18.0,11.0
2559,17.0,8.0
2560,14.0,6.0
2561,12.0,3.0
2562,10.0,3.0
2563,11.0,4.0
2564,14.0,5.0
2565,15.0,8.0
2566,18.0,8.0
2567,19.0,9.0
2568,20.0,11.0
2569,22.0,12.0
2570,24.0,12.0
2571,26.0,12.0
2572,32.0,13.0
2573,32.0,14.0
2574,33.0,19.0
2575,29.0,16.0
2576,26.0,16.0
2577,24.0,15.0
2578,22.0,16.0
2579,22.0,17.0
2580,18.0,15.0
2581,19.0,14.0
2582,20.0,16.0
2583,17.0,15.0
2584,15.0,13.0
2585,14.0,10.0
2586,11.0,5.0
2587,12.0,6.0
2588,12.0,7.0
2589,13.0,9.0
2590,14.0,9.0
2591,15.0,12.0
2592,15.0,12.0
2593,18.0,15.0
2594,18.0,15.0
2595,21.0,18.0
2596,22.0,19.0
2597,25.0,19.0
2598,25.0,20.0
2599,20.0,19.0
2600,18.0,15.0
2601,19.0,13.0
2602,19.0,12.0
2603,18.0,12.0
2604,17.0,12.0
2605,14.0,8.0
2606,13.0,6.0
2607,13.0,2.0
2608,12.0,1.0
2609,8.0,2.0
2610,6.0,2.0
2611,9.0,3.0
2612,10.0,5.0
2613,12.0,8.0
2614,13.0,10.0
2615,13.0,13.0
2616,14.0,15.0
2617,15.0,15.0
2618,16.0,15.0
2619,18.0,15.0
2620,20.0,19.0
2621,21.0,20.0
2622,22.0,22.0
2623,18.0,20.0
2624,16.0,21.0
2625,17.0,21.0
2626,17.0,18.0
2627,21.0,14.0
2628,19.0,11.0
2629,18.0,11.0
2630,17.0,9.0
2631,14.0,6.0
