,all_100,all_101
243,11.0,10.0
244,12.0,12.0
245,12.0,13.0
246,14.0,15.0
247,12.0,11.0
248,14.0,10.0
249,14.0,11.0
250,12.0,10.0
251,12.0,14.0
252,9.0,15.0
253,7.0,13.0
254,4.0,9.0
255,4.0,5.0
256,4.0,3.0
257,2.0,3.0
258,2.0,3.0
259,5.0,4.0
260,6.0,4.0
261,7.0,7.0
262,7.0,8.0
263,9.0,9.0
264,12.0,10.0
265,12.0,11.0
266,13.0,11.0
267,14.0,11.0
268,15.0,13.0
269,15.0,14.0
270,17.0,15.0
271,14.0,11.0
272,12.0,9.0
273,11.0,10.0
274,13.0,10.0
275,12.0,8.0
276,12.0,8.0
277,11.0,6.0
278,11.0,7.0
279,9.0,5.0
280,6.0,2.0
281,6.0,2.0
282,4.0,3.0
283,7.0,7.0
284,7.0,8.0
285,9.0,9.0
286,9.0,9.0
287,9.0,13.0
288,10.0,13.0
289,12.0,14.0
290,13.0,14.0
291,13.0,14.0
292,14.0,17.0
293,15.0,18.0
294,16.0,19.0
295,14.0,16.0
296,12.0,15.0
297,10.0,15.0
298,9.0,13.0
299,10.0,11.0
300,11.0,10.0
301,13.0,9.0
302,11.0,7.0
303,7.0,4.0
304,4.0,2.0
305,4.0,3.0
306,4.0,3.0
307,4.0,3.0
308,8.0,4.0
309,12.0,5.0
310,11.0,5.0
311,15.0,5.0
312,14.0,5.0
313,15.0,7.0
314,17.0,8.0
315,17.0,9.0
316,19.0,9.0
317,21.0,12.0
318,23.0,14.0
319,20.0,12.0
320,20.0,13.0
321,21.0,14.0
322,17.0,12.0
323,16.0,13.0
324,14.0,12.0
325,13.0,10.0
326,11.0,9.0
327,10.0,8.0
328,7.0,6.0
329,6.0,6.0
330,5.0,4.0
331,6.0,5.0
332,6.0,5.0
333,8.0,8.0
334,9.0,11.0
335,10.0,11.0
336,11.0,10.0
337,14.0,12.0
338,14.0,12.0
339,15.0,14.0
340,16.0,18.0
341,19.0,20.0
342,22.0,21.0
343,16.0,15.0
344,14.0,13.0
345,17.0,14.0
346,18.0,13.0
347,17.0,11.0
348,17.0,10.0
349,15.0,9.0
350,12.0,8.0
351,10.0,7.0
352,8.0,6.0
353,6.0,6.0
354,5.0,5.0
355,5.0,5.0
356,8.0,5.0
357,12.0,6.0
