,Dwell_100,Dwell_101,mean,std
1691,3.61,,3.61,0.0
1693,4.94,,4.94,0.0
1694,4.53,5.79,5.16,0.6299999999999999
1695,3.65,7.82,5.735,2.0850000000000004
1696,5.32,7.19,6.255000000000001,0.935
1698,3.12,2.15,2.635,0.4850000000000001
1700,3.36,7.279999999999999,5.319999999999999,1.9599999999999997
1701,3.44,14.19,8.815,5.375
1702,2.97,,2.97,0.0
1703,4.75,,4.75,0.0
1704,4.65,7.449999999999999,6.05,1.3999999999999995
1705,2.94,5.43,4.185,1.2449999999999999
1706,2.97,6.01,4.49,1.5199999999999998
1707,13.61,7.94,10.775,2.834999999999999
1708,4.31,8.02,6.164999999999999,1.855
1709,6.98,3.19,5.085,1.8950000000000002
1710,7.74,,7.74,0.0
1711,15.03,,15.03,0.0
1712,5.56,10.86,8.209999999999999,2.65
1714,6.99,6.01,6.5,0.4900000000000002
1715,7.859999999999999,,7.859999999999999,0.0
1716,7.83,8.42,8.125,0.29499999999999993
1717,16.71,,16.71,0.0
1718,6.029999999999999,2.55,4.289999999999999,1.74
1719,8.33,2.49,5.41,2.92
1720,1.74,,1.74,0.0
1721,4.94,8.12,6.529999999999999,1.5899999999999994
1722,3.22,5.45,4.335,1.115
1723,5.88,,5.88,0.0
1724,15.01,14.77,14.89,0.1200000000000001
1725,3.34,,3.34,0.0
1726,7.99,5.81,6.9,1.0900000000000003
1728,4.32,7.95,6.135,1.815
1729,3.25,5.34,4.295,1.045
1730,3.73,3.98,3.855,0.125
1732,8.17,,8.17,0.0
1734,1.78,6.2,3.99,2.21
1735,13.59,,13.59,0.0
1736,4.51,6.12,5.3149999999999995,0.8050000000000002
1737,17.44,3.61,10.525,6.915000000000001
1738,19.28,10.22,14.75,4.53
1739,1.98,13.41,7.695,5.715
1740,11.96,,11.96,0.0
1741,10.93,2.85,6.89,4.039999999999999
1742,6.23,11.06,8.645,2.415
1743,5.529999999999999,,5.529999999999999,0.0
1744,2.49,,2.49,0.0
1746,7.98,4.37,6.175000000000001,1.8050000000000002
1747,2.33,3.67,3.0,0.6699999999999999
1749,4.77,,4.77,0.0
1750,2.57,7.06,4.8149999999999995,2.245
1752,2.0,3.59,2.795,0.7949999999999999
1753,1.21,5.56,3.385,2.175
1755,3.26,6.34,4.8,1.54
1759,11.34,,11.34,0.0
1763,5.28,6.66,5.970000000000001,0.69
1764,8.69,8.99,8.84,0.15000000000000036
1766,3.05,2.08,2.565,0.4849999999999999
1767,3.24,6.12,4.68,1.44
1768,6.92,2.34,4.63,2.29
1769,1.86,5.54,3.7,1.84
1770,6.93,4.03,5.48,1.4499999999999997
1771,3.81,4.7,4.255,0.44500000000000006
1772,1.29,6.380000000000001,3.8350000000000004,2.5450000000000004
1773,7.529999999999999,10.88,9.205,1.6750000000000007
1774,6.1,2.61,4.3549999999999995,1.7449999999999999
1775,6.03,3.2,4.615,1.415
1776,3.96,,3.96,0.0
1777,3.24,,3.24,0.0
1778,2.76,6.1,4.43,1.67
1779,3.83,5.69,4.76,0.9300000000000002
1780,13.4,7.32,10.36,3.04
1781,20.09,7.16,13.625,6.465
1782,10.55,,10.55,0.0
1783,2.46,,2.46,0.0
1784,4.28,7.9,6.09,1.81
1785,12.31,3.79,8.05,4.26
1786,1.61,4.37,2.99,1.38
1787,5.07,7.5,6.285,1.2149999999999999
1788,4.81,,4.81,0.0
1790,5.36,2.26,3.81,1.5500000000000003
1791,8.69,9.5,9.094999999999999,0.40500000000000025
1792,2.81,8.2,5.505,2.695
1793,9.7,,9.7,0.0
1794,2.31,2.46,2.385,0.07499999999999996
1795,3.89,,3.89,0.0
1797,8.88,8.12,8.5,0.3800000000000008
1798,7.5,13.12,10.309999999999999,2.8099999999999996
1799,12.1,13.41,12.754999999999999,0.6550000000000002
1800,2.4,13.42,7.91,5.51
1801,3.12,5.65,4.385,1.2650000000000001
1802,5.73,,5.73,0.0
1804,1.88,2.55,2.215,0.33499999999999996
1806,3.37,,3.37,0.0
1807,0.89,,0.89,0.0
1808,6.41,11.61,9.01,2.5999999999999996
1810,8.280000000000001,3.05,5.665000000000001,2.6150000000000007
1811,0.66,3.65,2.155,1.4949999999999999
1812,6.27,1.88,4.074999999999999,2.195
1813,1.06,,1.06,0.0
1814,8.120000000000001,11.29,9.705,1.584999999999999
1815,2.23,11.15,6.69,4.460000000000001
1816,1.55,,1.55,0.0
1817,2.22,10.22,6.220000000000001,4.0
1818,7.75,6.59,7.17,0.5800000000000001
1820,16.41,,16.41,0.0
1822,4.76,12.12,8.44,3.6799999999999997
1823,15.14,,15.14,0.0
1828,17.4,11.74,14.57,2.829999999999999
1829,6.85,13.79,10.32,3.4699999999999998
1831,3.03,7.640000000000001,5.335,2.305
1832,5.2,2.66,3.93,1.27
1833,3.34,,3.34,0.0
1834,8.55,3.62,6.085000000000001,2.4650000000000003
1835,4.609999999999999,5.29,4.949999999999999,0.3400000000000003
1836,8.08,2.33,5.205,2.875
1837,3.98,14.51,9.245,5.265
1839,4.29,3.85,4.07,0.21999999999999997
