,Anchorage_100,Anchorage_101,mean,std
3595,0.0,10.0,5.0,5.0
3596,1.0,9.0,5.0,4.0
3597,1.0,7.0,4.0,3.0
3598,0.0,6.0,3.0,3.0
3599,0.0,6.0,3.0,3.0
3600,1.0,7.51,4.255,3.255
3601,0.0,8.55,4.275,4.275
3602,0.0,8.07,4.035,4.035
3603,0.0,9.75,4.875,4.875
3604,0.0,8.4,4.2,4.2
3605,0.0,7.28,3.64,3.64
3606,0.0,8.29,4.145,4.145
3607,11.0,6.85,8.925,2.075
3608,11.0,6.64,8.82,2.18
3609,10.0,8.46,9.23,0.7699999999999996
3610,9.0,1.0,5.0,4.0
3611,8.0,1.0,4.5,3.5
3612,8.0,2.0,5.0,3.0
3613,8.0,1.0,4.5,3.5
3614,6.0,0.0,3.0,3.0
3615,8.1,0.0,4.05,4.05
3616,8.79,1.0,4.895,3.8949999999999996
3617,8.81,0.0,4.405,4.405
3618,10.1,0.0,5.05,5.05
3619,9.89,0.0,4.945,4.945
3620,8.8,0.0,4.4,4.4
3621,8.89,0.0,4.445,4.445
3622,7.94,0.0,3.97,3.97
3623,8.84,12.0,10.42,1.58
3624,8.07,12.0,10.035,1.9649999999999999
3625,0.0,11.0,5.5,5.5
3626,0.0,11.0,5.5,5.5
3627,0.0,9.0,4.5,4.5
3628,0.0,8.0,4.0,4.0
3629,0.0,9.0,4.5,4.5
3630,0.0,9.0,4.5,4.5
3631,0.0,6.95,3.475,3.475
3632,0.0,8.99,4.495,4.495
3633,0.0,9.89,4.945,4.945
3634,0.0,9.68,4.84,4.84
3635,12.0,11.77,11.885,0.11500000000000021
3636,13.0,12.69,12.844999999999999,0.15500000000000025
3637,11.0,9.37,10.184999999999999,0.8150000000000004
3638,12.0,8.75,10.375,1.625
3639,12.0,9.42,10.71,1.29
3640,12.0,9.3,10.65,1.3499999999999996
3641,11.0,9.27,10.135,0.8650000000000002
3642,11.0,10.08,10.54,0.45999999999999996
3643,9.0,0.0,4.5,4.5
3644,12.0,0.0,6.0,6.0
3645,12.0,3.0,7.5,4.5
3646,8.0,4.52,6.26,1.7400000000000002
3647,9.0,2.0,5.5,3.5
3648,9.71,0.0,4.855,4.855
3649,10.27,1.0,5.635,4.635
3650,10.75,0.0,5.375,5.375
3651,10.95,3.0,6.975,3.9749999999999996
3652,9.62,2.0,5.81,3.8099999999999996
3653,10.46,0.0,5.23,5.23
3654,9.17,13.0,11.085,1.915
3655,11.62,12.0,11.809999999999999,0.1900000000000004
3656,9.3,12.0,10.65,1.3499999999999996
3657,10.81,11.0,10.905000000000001,0.09499999999999975
3658,7.94,11.0,9.47,1.5299999999999998
3659,8.46,11.0,9.73,1.2699999999999996
3660,8.6,9.0,8.8,0.20000000000000018
3661,1.0,9.0,5.0,4.0
3662,0.0,8.47,4.235,4.235
3663,2.42,11.3,6.86,4.44
3664,0.0,13.8,6.9,6.9
3665,0.47,8.86,4.665,4.195
3666,1.0,9.55,5.275,4.275
3667,3.0,7.02,5.01,2.01
3668,2.0,0.0,1.0,1.0
3669,0.0,0.0,0.0,0.0
3670,16.0,0.0,8.0,8.0
3671,0.0,0.0,0.0,0.0
3672,14.93,0.0,7.465,7.465
3673,1.0,0.0,0.5,0.5
3674,9.0,0.0,4.5,4.5
3675,9.0,0.0,4.5,4.5
3676,8.0,0.0,4.0,4.0
3677,7.0,0.0,3.5,3.5
3678,6.0,0.0,3.0,3.0
3679,8.0,12.0,10.0,2.0
3680,7.0,11.0,9.0,2.0
3681,6.0,12.0,9.0,3.0
3682,7.83,11.0,9.415,1.585
3683,7.96,10.0,8.98,1.02
3684,7.36,8.0,7.68,0.31999999999999984
3685,6.76,7.0,6.88,0.1200000000000001
3686,6.65,6.0,6.325,0.3250000000000002
3687,9.74,7.0,8.370000000000001,1.37
3688,6.56,6.0,6.279999999999999,0.2799999999999998
3689,9.1,8.7,8.899999999999999,0.20000000000000018
3690,7.81,10.18,8.995,1.185
3691,6.81,5.61,6.21,0.5999999999999996
3692,1.0,4.99,2.995,1.995
3693,1.0,3.22,2.1100000000000003,1.11
3694,0.0,0.0,0.0,0.0
3695,4.0,0.0,2.0,2.0
3696,0.0,0.0,0.0,0.0
3697,1.0,0.0,0.5,0.5
3698,2.81,0.0,1.405,1.405
3699,3.0,1.0,2.0,1.0
3700,0.0,0.0,0.0,0.0
3701,1.0,1.0,1.0,0.0
3702,1.66,0.0,0.83,0.83
3703,1.0,0.0,0.5,0.5
3704,0.0,0.0,0.0,0.0
3705,14.44,0.0,7.22,7.22
3706,14.0,0.0,7.0,7.0
3707,1.0,1.0,1.0,0.0
3708,13.0,1.0,7.0,6.0
3709,12.0,0.0,6.0,6.0
3710,13.0,0.0,6.5,6.5
3711,0.0,12.0,6.0,6.0
3712,11.0,11.0,11.0,0.0
3713,11.0,10.0,10.5,0.5
3714,9.0,10.0,9.5,0.5
3715,11.0,9.0,10.0,1.0
3716,8.97,10.0,9.485,0.5149999999999997
3717,8.76,8.0,8.379999999999999,0.3799999999999999
3718,8.05,10.31,9.18,1.13
3719,8.940000000000001,8.15,8.545000000000002,0.39500000000000046
3720,6.14,8.54,7.34,1.1999999999999997
3721,6.94,9.45,8.195,1.2549999999999994
3722,5.83,8.68,7.255,1.4249999999999998
3723,5.8,10.09,7.945,2.145
3724,0.0,8.34,4.17,4.17
3725,0.0,8.74,4.37,4.37
3726,1.0,9.02,5.01,4.01
3727,0.0,6.92,3.46,3.46
3728,0.0,6.91,3.455,3.455
3729,1.0,0.0,0.5,0.5
3730,1.0,0.0,0.5,0.5
3731,0.0,0.0,0.0,0.0
3732,1.0,1.0,1.0,0.0
3733,1.0,0.0,0.5,0.5
3734,1.0,1.85,1.425,0.42500000000000004
3735,0.0,1.0,0.5,0.5
3736,1.0,3.21,2.105,1.105
3737,0.0,1.0,0.5,0.5
3738,0.0,1.0,0.5,0.5
3739,0.0,0.0,0.0,0.0
3740,,0.0,0.0,0.0
3741,,1.0,1.0,0.0
3742,,1.0,1.0,0.0
3743,,14.0,14.0,0.0
3744,,0.0,0.0,0.0
3745,,12.0,12.0,0.0
3746,0.0,12.0,6.0,6.0
3747,,12.0,12.0,0.0
3748,,0.0,0.0,0.0
3749,,9.0,9.0,0.0
3750,,0.0,0.0,0.0
3751,,9.0,9.0,0.0
3752,,9.0,9.0,0.0
3753,,7.0,7.0,0.0
