,Turn_100,Turn_101,mean,std
2466,20.55999999999995,39.26999999999998,29.914999999999964,9.355000000000016
2497,36.60000000000014,,36.60000000000014,0.0
2507,29.88000000000011,,29.88000000000011,0.0
2516,22.51999999999998,,22.51999999999998,0.0
2541,33.22000000000003,33.44000000000005,33.33000000000004,0.11000000000001009
2542,30.83999999999992,,30.83999999999992,0.0
2555,37.79999999999995,,37.79999999999995,0.0
2563,12.99000000000001,,12.99000000000001,0.0
2574,49.58000000000015,,49.58000000000015,0.0
2578,27.79000000000019,,27.79000000000019,0.0
2579,22.57999999999993,,22.57999999999993,0.0
2590,39.59999999999991,,39.59999999999991,0.0
2595,32.70999999999981,,32.70999999999981,0.0
2604,32.76999999999998,,32.76999999999998,0.0
2610,23.66000000000008,,23.66000000000008,0.0
2615,21.70000000000005,,21.70000000000005,0.0
2618,37.55999999999995,,37.55999999999995,0.0
2622,10.70999999999981,27.56000000000017,19.13499999999999,8.425000000000178
2627,28.58999999999992,,28.58999999999992,0.0
2628,26.87000000000012,,26.87000000000012,0.0
2636,45.20999999999981,,45.20999999999981,0.0
2637,17.97000000000003,,17.97000000000003,0.0
2638,20.06999999999994,,20.06999999999994,0.0
2639,43.82999999999993,,43.82999999999993,0.0
2645,35.80000000000018,36.31999999999994,36.06000000000006,0.25999999999988077
2652,32.39999999999986,37.14999999999986,34.77499999999986,2.375
2656,29.5,,29.5,0.0
2670,21.17000000000007,,21.17000000000007,0.0
2676,35.76000000000022,,35.76000000000022,0.0
2683,35.07999999999993,,35.07999999999993,0.0
2684,32.0,,32.0,0.0
2686,33.38999999999987,27.25,30.319999999999936,3.0699999999999363
2695,22.9699999999998,,22.9699999999998,0.0
2698,41.76999999999998,,41.76999999999998,0.0
2704,36.11000000000013,,36.11000000000013,0.0
2707,30.40999999999985,21.42000000000007,25.91499999999996,4.494999999999891
2715,48.42999999999984,,48.42999999999984,0.0
2724,39.34999999999991,,39.34999999999991,0.0
2729,39.46000000000004,,39.46000000000004,0.0
