,liq_100,liq_101
752,14.0,14.0
753,12.0,11.0
754,12.0,8.0
755,13.0,7.0
756,13.0,7.0
757,13.0,5.0
758,10.0,4.0
759,9.0,2.0
760,7.0,3.0
761,5.0,4.0
762,5.0,2.0
763,5.0,2.0
764,7.0,3.0
765,9.0,4.0
766,9.0,4.0
767,11.0,6.0
768,12.0,7.0
769,14.0,9.0
770,15.0,9.0
771,15.0,9.0
772,16.0,10.0
773,16.0,11.0
774,16.0,12.0
775,14.0,9.0
776,12.0,10.0
777,9.0,11.0
778,10.0,10.0
779,9.0,7.0
780,10.0,10.0
781,7.0,9.0
782,4.0,8.0
783,4.0,7.0
784,3.0,6.0
785,3.0,3.0
786,1.0,3.0
787,1.0,5.0
788,3.0,6.0
789,5.0,6.0
790,5.0,9.0
791,5.0,9.0
792,7.0,10.0
793,9.0,10.0
794,9.0,10.0
795,9.0,11.0
796,10.0,11.0
797,11.0,11.0
798,11.0,13.0
799,12.0,9.0
800,11.0,6.0
801,10.0,5.0
802,9.0,6.0
803,7.0,6.0
804,7.0,6.0
805,6.0,6.0
806,6.0,7.0
807,4.0,5.0
808,3.0,8.0
809,2.0,8.0
810,2.0,5.0
811,3.0,7.0
812,7.0,7.0
813,8.0,10.0
814,10.0,11.0
815,10.0,13.0
816,11.0,13.0
817,11.0,15.0
818,11.0,17.0
819,11.0,18.0
820,12.0,20.0
821,12.0,20.0
822,12.0,22.0
823,10.0,19.0
824,7.0,17.0
825,6.0,16.0
826,6.0,14.0
827,8.0,15.0
828,8.0,13.0
829,5.0,12.0
830,3.0,9.0
831,2.0,8.0
832,2.0,6.0
833,2.0,5.0
834,1.0,4.0
835,2.0,5.0
836,2.0,6.0
837,3.0,7.0
838,4.0,8.0
839,6.0,8.0
840,6.0,9.0
841,6.0,11.0
842,6.0,12.0
843,7.0,14.0
844,8.0,14.0
845,9.0,14.0
846,9.0,15.0
847,7.0,13.0
848,8.0,11.0
849,7.0,9.0
850,8.0,9.0
851,9.0,10.0
852,9.0,10.0
853,7.0,10.0
854,5.0,8.0
855,5.0,8.0
856,4.0,9.0
857,5.0,10.0
858,4.0,8.0
859,6.0,8.0
860,9.0,8.0
861,10.0,8.0
862,10.0,10.0
863,10.0,10.0
864,12.0,10.0
865,13.0,14.0
866,13.0,16.0
867,13.0,18.0
868,15.0,18.0
869,15.0,19.0
870,16.0,20.0
871,11.0,14.0
872,8.0,14.0
873,9.0,12.0
874,8.0,12.0
875,9.0,12.0
876,8.0,9.0
877,10.0,9.0
878,8.0,7.0
879,6.0,4.0
880,5.0,4.0
881,3.0,3.0
882,3.0,1.0
883,3.0,2.0
884,6.0,2.0
885,7.0,3.0
886,8.0,6.0
887,8.0,6.0
888,9.0,9.0
889,11.0,10.0
890,12.0,12.0
891,12.0,13.0
892,12.0,14.0
893,12.0,14.0
894,13.0,14.0
895,8.0,13.0
896,7.0,12.0
897,9.0,12.0
898,10.0,13.0
899,11.0,9.0
900,9.0,9.0
901,10.0,8.0
902,6.0,5.0
903,3.0,1.0
904,4.0,2.0
905,3.0,4.0
906,2.0,5.0
907,4.0,6.0
908,6.0,8.0
909,6.0,8.0
910,6.0,9.0
911,6.0,10.0
912,6.0,12.0
913,7.0,13.0
914,9.0,14.0
915,10.0,17.0
916,10.0,17.0
917,11.0,19.0
918,12.0,19.0
919,9.0,14.0
920,9.0,14.0
921,8.0,16.0
922,7.0,16.0
923,6.0,16.0
924,6.0,14.0
925,4.0,12.0
926,4.0,9.0
927,4.0,7.0
928,4.0,7.0
929,1.0,5.0
930,1.0,3.0
931,3.0,5.0
932,3.0,7.0
933,5.0,7.0
934,6.0,7.0
935,7.0,7.0
936,9.0,8.0
937,10.0,9.0
938,13.0,11.0
939,13.0,12.0
940,15.0,13.0
941,17.0,13.0
942,21.0,15.0
943,20.0,14.0
944,20.0,15.0
945,19.0,14.0
