,Dwell_100,Dwell_101,Dwell_102,Dwell_103,mean,std
1031,24.0,17.32,7.43,3.86,13.1525,7.970788464763069
1032,16.51,10.2,19.0,4.88,12.6475,5.513562255928558
1033,28.0,5.65,30.0,22.0,21.4125,9.564803644090139
1034,22.82,14.18,3.92,19.26,15.045000000000002,7.119176567553301
1035,13.82,3.79,6.4,3.25,6.8149999999999995,4.216103058512683
1036,11.15,14.3,6.880000000000001,5.23,9.39,3.5641057784527104
1037,6.09,18.0,3.62,5.35,8.265,5.691530989110047
1038,8.36,10.16,3.62,16.07,9.5525,4.457114397230567
1039,5.86,21.82,10.24,24.0,15.48,7.62869582563101
1040,8.379999999999999,4.0,5.13,21.05,9.64,6.780954947498177
1041,6.73,6.53,23.0,17.64,13.475000000000001,7.1028321816019275
1042,2.84,9.39,24.0,14.72,12.7375,7.745006052289436
1043,9.379999999999999,8.0,13.21,12.99,10.895,2.259673649003325
1044,16.26,18.95,11.24,7.0,13.3625,4.598969313878926
1045,14.43,6.35,6.3,8.469999999999999,8.8875,3.3176676672023677
1046,11.48,5.62,13.62,13.7,11.105,3.2895706406763785
1047,3.97,13.8,7.3,6.59,7.915,3.616977329207359
1048,20.84,22.23,7.0,8.46,14.6325,6.939197990402061
1049,16.5,13.82,8.120000000000001,13.43,12.9675,3.0379876151821286
1050,17.41,3.56,12.19,11.72,11.219999999999999,4.954356668630146
1051,22.82,10.88,5.84,10.99,12.632500000000002,6.2388355283658505
1052,5.16,10.73,7.69,4.63,7.0525,2.4176680396613595
1053,24.0,17.56,4.0,4.0,12.39,8.693463061404241
1054,24.12,22.0,16.06,29.0,22.795,4.643541213341388
1055,5.25,5.27,4.0,3.68,4.55,0.7189923504460947
1056,8.07,5.96,8.56,3.02,6.402500000000001,2.1836022417097856
1057,2.75,6.81,5.609999999999999,11.74,6.727499999999999,3.2481254209158856
1058,3.06,22.5,3.48,5.8,8.709999999999999,8.029750930134757
1059,42.53,5.88,9.8,13.03,17.810000000000002,14.49492842341762
1060,5.39,5.640000000000001,19.37,6.83,9.307500000000001,5.8350080334134935
1061,20.0,19.04,8.149999999999999,3.58,12.692499999999999,7.0242842162031005
1062,11.1,6.359999999999999,7.949999999999999,10.22,8.9075,1.866566031513485
1063,12.78,15.73,10.59,23.0,15.524999999999999,4.68526680136788
1064,42.0,13.86,4.96,4.02,16.21,15.376973044133232
1065,24.42,10.71,14.24,9.17,14.635000000000002,5.940835378968181
1066,9.45,42.0,3.36,4.69,14.875,15.823445421272826
1067,3.9,5.63,10.63,14.42,8.645,4.150183730872646
1068,4.54,7.81,8.14,41.0,15.3725,14.86280823902401
1069,8.16,8.8,16.59,14.53,12.02,3.62122216937873
1070,4.3,22.29,13.73,7.53,11.9625,6.858248227499497
1071,18.08,5.619999999999999,12.19,7.56,10.862499999999999,4.802209777800216
1072,8.73,6.99,7.92,3.45,6.7725,2.0146262060243334
1073,5.37,7.0,7.59,4.01,5.9925,1.4040009793443877
1074,6.9,5.75,21.43,25.0,14.77,8.548476472448176
1075,3.09,7.19,4.8,6.0,5.2700000000000005,1.5159650391747168
1076,15.95,10.51,2.63,3.19,8.07,5.510353890631708
1077,4.0,6.640000000000001,4.41,6.84,5.4725,1.2777201375888227
1078,4.69,8.040000000000001,4.27,14.17,7.7925,3.961290036086729
1079,7.779999999999999,6.23,21.06,7.1,10.5425,6.097082806555934
1080,17.2,30.0,15.83,12.13,18.79,6.7325589488692925
1081,3.13,6.0,43.0,4.98,14.2775,16.614822260559997
1082,5.26,7.07,9.97,7.0,7.325,1.6904807008658813
1083,4.73,6.98,16.59,10.27,9.6425,4.468866606870248
1084,5.99,4.0,4.56,8.41,5.74,1.7037752199160547
1085,3.16,7.0,46.01000000000001,8.379999999999999,16.137500000000003,17.352625701893075
1086,17.25,5.79,12.1,7.699999999999999,10.71,4.4150368061885965
1087,18.54,5.95,16.19,9.19,12.4675,5.097844519990778
1088,20.4,9.879999999999999,8.129999999999999,26.0,16.1025,7.394411318691977
1089,25.0,11.84,8.940000000000001,12.06,14.46,6.208590822400844
1090,4.54,6.09,4.0,19.73,8.59,6.477271802232789
1091,3.56,5.92,16.67,22.42,12.142500000000002,7.72178857195663
1092,4.6,2.69,12.88,3.34,5.8775,4.100794892456827
1093,10.3,3.21,3.73,4.58,5.455,2.839687482805106
1094,21.34,17.62,7.01,7.12,13.272499999999999,6.3454210853181365
1095,27.0,22.2,5.95,5.76,15.227500000000001,9.525138778516563
1096,10.87,2.85,37.08,12.1,15.725,12.830756992477099
1097,7.1,3.48,4.33,31.25,11.54,11.458025571624459
1098,7.84,12.52,22.0,6.34,12.175,6.113286759182821
1099,22.0,19.0,8.26,2.97,13.0575,7.746858637538186
1100,6.18,13.43,23.0,10.41,13.254999999999999,6.187594443723667
1101,10.32,7.7,21.28,6.03,11.3325,5.94326246686111
1102,7.59,16.0,7.98,3.46,8.7575,4.541059210140295
1103,42.0,2.79,20.18,15.74,20.1775,14.126553675613879
1104,3.36,12.32,29.0,8.0,13.17,9.673112218929335
1105,19.0,6.0,6.24,3.32,8.64,6.090188831226828
1106,6.53,44.82,8.57,3.04,15.74,16.90539410957343
1107,8.86,5.94,7.6,31.0,13.35,10.242719365481024
1108,3.43,31.0,18.11,9.15,15.4225,10.404872356256947
1109,4.5,6.949999999999999,3.37,5.52,5.085,1.3182279772482448
1110,8.7,4.02,25.0,11.75,12.3675,7.7957147683839745
1111,8.33,28.0,4.05,22.0,15.594999999999999,9.75929428801079
1112,15.9,3.57,16.08,6.27,10.454999999999998,5.617074416455598
1113,8.620000000000001,6.06,11.83,8.14,8.6625,2.0664507615716374
1114,19.6,12.25,7.970000000000001,11.47,12.8225,4.231969842756444
1115,15.64,2.63,4.34,8.08,7.672499999999999,5.004484863599849
1116,10.24,29.0,3.47,7.470000000000001,12.545,9.80039922656215
1117,12.72,8.129999999999999,24.24,9.97,13.765,6.264441315871672
1118,7.77,12.89,11.84,15.78,12.07,2.871384683388835
1119,4.1,17.74,16.18,9.85,11.9675,5.418677767684659
1120,4.609999999999999,22.0,5.66,6.48,9.6875,7.139458575410323
1121,14.25,6.01,23.96,6.720000000000001,12.735,7.240540380385983
1122,10.81,5.16,6.34,21.0,10.8275,6.239757106650868
1123,20.0,25.72,42.0,9.95,24.4175,11.615331194158864
1124,4.21,14.36,4.57,7.82,7.74,4.072486955166339
1125,6.34,2.96,3.27,11.66,6.0575,3.4940118417086112
1126,12.28,12.14,20.5,9.23,13.537500000000001,4.200156991113547
1127,4.41,29.0,3.26,3.65,10.079999999999998,10.931292238340351
1128,12.54,14.8,8.26,11.52,11.780000000000001,2.353508019956593
1129,9.45,5.710000000000001,10.89,14.73,10.195,3.2295316997979753
1130,3.08,4.0,4.92,3.21,3.8025,0.7349957482870224
1131,3.23,14.05,5.0,14.89,9.2925,5.223630801463672
1132,20.0,2.8,21.94,11.01,13.9375,7.638849307978264
1133,13.5,8.0,8.0,5.5,8.75,2.9261749776799064
1134,3.78,23.72,5.14,4.03,9.1675,8.417468072407521
