,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
2205,0.0,22.86,6.0,,9.62,9.677231008919854
2212,13.32,18.73,22.01,,18.02,3.583024792918222
2217,15.62,,,,15.62,0.0
2243,1.0,0.0,9.7,14.13,6.2075,5.929052938707834
2250,13.24,,,,13.24,0.0
2258,0.0,0.0,,,0.0,0.0
2271,9.0,,,,9.0,0.0
2275,11.0,9.53,11.87,,10.799999999999999,0.9657121724406295
2283,22.81,,,,22.81,0.0
2284,0.0,,,,0.0,0.0
2293,0.0,,,0.1,0.05,0.05
2299,11.31,,0.0,,5.655,5.655
2316,21.79,,,,21.79,0.0
2319,0.0,,,,0.0,0.0
2327,13.0,,14.56,,13.780000000000001,0.7800000000000004
2341,8.77,22.41,,,15.59,6.82
2353,0.0,,,,0.0,0.0
2361,0.0,,10.0,,5.0,5.0
2374,11.59,,,,11.59,0.0
2389,1.0,37.3,,,19.15,18.15
2392,1.0,,,,1.0,0.0
2404,16.91,,,,16.91,0.0
2414,25.32,,,,25.32,0.0
2429,0.0,,,1.0,0.5,0.5
2431,1.0,,,,1.0,0.0
2432,0.0,,,,0.0,0.0
2436,11.0,,,,11.0,0.0
2438,10.86,,6.08,,8.469999999999999,2.3899999999999997
2443,46.06,22.61,,,34.335,11.725000000000001
2444,0.0,,,,0.0,0.0
2448,43.0,,,,43.0,0.0
2465,26.73,,10.39,,18.560000000000002,8.17
2473,19.0,,,,19.0,0.0
2475,21.0,,,,21.0,0.0
2487,12.28,,10.0,,11.14,1.1399999999999997
2496,8.92,,,,8.92,0.0
2498,0.0,,51.06,,25.53,25.53
2502,0.0,3.3,,,1.65,1.65
2504,0.0,1.83,49.86,,17.23,23.08498646306729
2510,8.0,,,0.0,4.0,4.0
2519,30.11,,,0.0,15.055,15.055
2534,17.75,,,,17.75,0.0
2549,29.05,,,,29.05,0.0
2553,0.0,,,,0.0,0.0
2580,12.0,12.0,7.21,,10.403333333333334,2.258027654589042
2586,8.0,15.94,2.82,,8.92,5.395578436707844
2591,5.97,,,,5.97,0.0
2602,0.0,,,,0.0,0.0
2606,0.0,4.67,29.7,,11.456666666666665,13.040108213593253
2612,9.0,19.55,,,14.275,5.275
2615,7.0,,10.96,,8.98,1.9800000000000004
2619,7.93,,,,7.93,0.0
2621,8.49,,,,8.49,0.0
2630,0.0,,,,0.0,0.0
2640,13.0,,,,13.0,0.0
2652,7.0,13.0,,0.0,6.666666666666667,5.312459150169743
2661,0.0,,,,0.0,0.0
2666,1.0,,,,1.0,0.0
2667,1.0,,,32.81,16.905,15.905000000000001
2668,0.0,,,,0.0,0.0
2670,12.0,,,,12.0,0.0
2677,7.0,,,,7.0,0.0
2720,14.0,,25.09,,19.545,5.545
2733,0.0,,,,0.0,0.0
2735,0.0,,,32.52,16.26,16.26
2745,12.0,,,0.0,6.0,6.0
2746,11.0,,,,11.0,0.0
2769,10.34,,,,10.34,0.0
2770,9.49,9.74,,,9.615,0.125
2771,0.0,,1.46,,0.73,0.73
2775,0.0,,0.0,,0.0,0.0
2791,11.0,,,,11.0,0.0
2793,10.0,,,,10.0,0.0
2795,9.89,,11.92,,10.905000000000001,1.0149999999999997
2800,0.0,,,,0.0,0.0
2806,0.0,,,,0.0,0.0
2818,10.0,,,12.0,11.0,1.0
2831,0.0,,,,0.0,0.0
2835,0.0,,,,0.0,0.0
2847,8.0,,,,8.0,0.0
2855,0.0,,,,0.0,0.0
2856,0.0,,14.57,,7.285,7.285
2859,0.0,,,20.23,10.115,10.115
2862,2.0,9.4,,,5.7,3.7
2874,10.0,1.0,,,5.5,4.5
2902,0.0,,,,0.0,0.0
2904,1.0,,,30.4,15.7,14.7
2911,10.0,,,,10.0,0.0
2950,0.0,12.0,,11.0,7.666666666666667,5.436502143433364
2955,13.0,,,,13.0,0.0
2961,9.0,,,,9.0,0.0
2962,9.5,,,,9.5,0.0
2968,7.38,10.47,4.93,17.99,10.192499999999999,4.911264475672227
2971,0.0,,,,0.0,0.0
2975,0.0,,,,0.0,0.0
2980,11.0,,1.0,,6.0,5.0
2982,9.0,,0.0,,4.5,4.5
2994,8.54,,,,8.54,0.0
2997,5.93,,,1.0,3.465,2.465
3001,2.0,,,,2.0,0.0
3007,0.0,,1.0,,0.5,0.5
3013,12.0,,,,12.0,0.0
3015,9.0,,,,9.0,0.0
3023,8.06,,,,8.06,0.0
3025,9.38,,,,9.38,0.0
3029,0.0,,,,0.0,0.0
3031,0.0,,,,0.0,0.0
3038,0.0,,,,0.0,0.0
3041,0.0,,,,0.0,0.0
3053,8.67,,,0.0,4.335,4.335
3062,0.0,,,,0.0,0.0
3075,10.0,,,,10.0,0.0
3082,7.0,,,1.0,4.0,3.0
3086,7.89,,10.0,,8.945,1.0550000000000002
3091,0.0,,,,0.0,0.0
3093,1.0,,,,1.0,0.0
3100,1.0,,,,1.0,0.0
3101,0.0,6.4,,,3.2,3.2
3126,21.91,,,8.9,15.405000000000001,6.505
3130,0.0,,,8.27,4.135,4.135
3140,0.0,,,,0.0,0.0
3144,0.0,,6.23,,3.115,3.115
3156,9.65,,11.13,,10.39,0.7400000000000002
3157,13.52,,,,13.52,0.0
3174,0.0,,,,0.0,0.0
3178,0.0,,,,0.0,0.0
3198,2.0,12.84,13.37,12.7,10.2275,4.756718275239768
3203,1.0,,,,1.0,0.0
3205,1.0,,,22.67,11.835,10.835
3206,0.0,24.38,,,12.19,12.19
3211,10.0,,,,10.0,0.0
3213,12.0,,,,12.0,0.0
3225,12.16,,,,12.16,0.0
3230,24.35,,,25.11,24.73,0.379999999999999
3240,0.0,,0.0,,0.0,0.0
3247,0.0,,,,0.0,0.0
3251,10.57,,,,10.57,0.0
3253,12.5,,,,12.5,0.0
3255,11.05,,,,11.05,0.0
3264,0.0,,,,0.0,0.0
3265,0.0,,,0.0,0.0,0.0
3266,0.0,0.0,0.0,,0.0,0.0
3271,12.0,,,13.0,12.5,0.5
3279,7.0,,,,7.0,0.0
3282,7.16,10.0,,3.06,6.739999999999999,2.8487658146409065
3296,1.0,,,,1.0,0.0
3304,12.0,,,,12.0,0.0
3311,7.0,,12.0,,9.5,2.5
3313,7.0,,,,7.0,0.0
3346,8.76,,,,8.76,0.0
3353,1.0,21.99,,,11.495,10.495
3355,0.0,,,12.0,6.0,6.0
3369,7.66,11.0,0.0,,6.22,4.6047222138438135
3372,8.31,,15.0,,11.655000000000001,3.3449999999999998
3373,8.5,,,12.0,10.25,1.75
3376,7.2,,,,7.2,0.0
3383,0.0,,,,0.0,0.0
3401,11.0,,,,11.0,0.0
3411,1.0,,,,1.0,0.0
3422,10.0,0.0,,,5.0,5.0
3428,7.21,,,0.0,3.605,3.605
3429,0.0,12.0,,,6.0,6.0
3431,1.0,,,,1.0,0.0
3438,0.0,,,,0.0,0.0
3440,0.0,,,7.33,3.665,3.665
3444,11.0,,,,11.0,0.0
3451,1.0,,,,1.0,0.0
3465,13.0,0.0,0.0,,4.333333333333333,6.128258770283412
3478,8.0,,,1.0,4.5,3.5
3481,7.0,,8.0,,7.5,0.5
3484,13.87,,,,13.87,0.0
3492,0.0,,,,0.0,0.0
3502,1.0,,,,1.0,0.0
3507,8.0,,,,8.0,0.0
3511,10.74,,,,10.74,0.0
3512,8.56,,,,8.56,0.0
3519,0.0,,0.0,9.85,3.283333333333333,4.6433345297916615
3521,0.0,,,,0.0,0.0
3527,12.0,,,,12.0,0.0
3534,11.0,,,,11.0,0.0
3535,10.0,,,,10.0,0.0
3542,9.21,,,8.0,8.605,0.6050000000000004
3543,8.34,,,,8.34,0.0
3549,1.0,,8.58,,4.79,3.79
3552,0.69,,,,0.69,0.0
3554,3.28,,,,3.28,0.0
3565,11.0,0.0,,0.0,3.6666666666666665,5.185449728701348
3580,1.0,,,,1.0,0.0
3594,7.0,,,,7.0,0.0
3596,8.68,,,,8.68,0.0
3598,9.79,,,,9.79,0.0
3599,9.79,,,,9.79,0.0
3606,0.0,,,,0.0,0.0
3615,0.0,,,,0.0,0.0
3616,11.0,,,,11.0,0.0
3617,11.0,13.0,,,12.0,1.0
3624,10.0,,,,10.0,0.0
3642,1.0,,,,1.0,0.0
3644,0.0,1.0,,,0.5,0.5
3648,11.0,,,,11.0,0.0
3649,11.0,,8.65,13.89,11.18,2.1430041219434615
3652,9.0,,8.65,,8.825,0.17499999999999982
3658,7.0,,,,7.0,0.0
3662,8.3,,,,8.3,0.0
3663,5.92,,,,5.92,0.0
3671,1.14,,,,1.14,0.0
3675,0.59,,,,0.59,0.0
3685,9.0,9.84,,,9.42,0.41999999999999993
3692,8.17,,,,8.17,0.0
3694,7.32,,,,7.32,0.0
3695,7.39,,,,7.39,0.0
3701,0.0,,,,0.0,0.0
3708,0.0,6.9,,,3.45,3.45
3724,8.86,,,,8.86,0.0
3725,8.71,11.0,,,9.855,1.1449999999999996
3726,0.0,,,,0.0,0.0
3730,0.0,10.0,,,5.0,5.0
3732,0.0,,,,0.0,0.0
3753,9.37,,,,9.37,0.0
3758,8.09,,,,8.09,0.0
3760,9.46,,,,9.46,0.0
3762,8.61,12.0,,2.99,7.866666666666667,3.7156814837777588
3806,7.0,,,,7.0,0.0
3814,5.85,,,,5.85,0.0
3823,0.0,,,,0.0,0.0
3825,0.0,,,,0.0,0.0
3829,0.0,1.0,,,0.5,0.5
3833,0.0,,,,0.0,0.0
3844,5.0,,,0.0,2.5,2.5
3845,4.0,,1.0,,2.5,1.5
3861,1.0,,,,1.0,0.0
3870,10.0,,,,10.0,0.0
3885,10.05,,,,10.05,0.0
3897,1.0,,0.0,,0.5,0.5
3898,2.0,1.0,,,1.5,0.5
3904,0.0,,,,0.0,0.0
3907,11.0,,,,11.0,0.0
3911,9.0,7.41,,,8.205,0.7949999999999999
3913,9.0,,,,9.0,0.0
3923,26.07,,,7.8,16.935,9.135
3924,0.0,,,,0.0,0.0
3927,0.0,,,,0.0,0.0
3928,1.28,,,,1.28,0.0
3931,0.0,,,,0.0,0.0
3933,14.69,,1.0,,7.845,6.845
3940,14.0,,,,14.0,0.0
3947,9.0,7.0,,,8.0,1.0
3949,16.1,,11.36,,13.73,2.370000000000001
3959,6.58,,,,6.58,0.0
3960,5.97,,,,5.97,0.0
3966,3.93,0.0,0.0,,1.31,1.8526197667087545
3982,11.0,,,,11.0,0.0
3985,11.0,,,,11.0,0.0
3988,7.99,,0.06,2.75,3.6,3.2927293643217426
3991,6.95,0.0,,1.21,2.72,3.0315782468322783
3995,5.98,,9.0,,7.49,1.5099999999999998
3997,6.03,,,,6.03,0.0
3998,20.65,,,0.0,10.325,10.325
4000,19.69,,,,19.69,0.0
4001,21.58,,,,21.58,0.0
4005,18.86,,,,18.86,0.0
4006,24.2,,,,24.2,0.0
4022,13.57,,,,13.57,0.0
4026,8.95,,,0.0,4.475,4.475
4047,11.0,,,,11.0,0.0
4048,11.0,0.0,1.0,,4.0,4.96655480858378
4057,8.44,1.0,,,4.72,3.7199999999999998
4065,8.29,,9.51,,8.899999999999999,0.6100000000000003
4073,0.0,,,,0.0,0.0
4078,10.0,,,,10.0,0.0
4082,7.0,,,,7.0,0.0
4086,11.57,,,,11.57,0.0
4092,0.0,,,,0.0,0.0
4097,1.0,,9.0,,5.0,4.0
4103,11.0,,,7.85,9.425,1.5750000000000002
4111,7.87,,,,7.87,0.0
4129,0.0,8.77,,,4.385,4.385
4130,13.0,9.2,,,11.1,1.9000000000000004
4135,12.0,,,,12.0,0.0
4145,8.9,2.0,1.0,,3.966666666666667,3.512200956032493
4147,8.28,,0.0,,4.14,4.14
