,db_100,db_101,db_102,db_103
267,3.0,0.0,1.0,0.0
268,4.0,0.0,3.0,0.0
269,4.0,1.0,3.0,0.0
270,4.0,3.0,3.0,0.0
271,3.0,4.0,3.0,0.0
272,3.0,4.0,3.0,0.0
273,2.0,3.0,3.0,0.0
274,2.0,3.0,3.0,0.0
275,2.0,3.0,2.0,0.0
276,2.0,3.0,2.0,0.0
277,0.0,3.0,2.0,0.0
278,1.0,3.0,1.0,1.0
279,2.0,2.0,0.0,1.0
280,2.0,2.0,0.0,3.0
281,1.0,1.0,0.0,2.0
282,1.0,1.0,1.0,1.0
283,1.0,1.0,2.0,2.0
284,1.0,2.0,2.0,2.0
285,1.0,2.0,4.0,3.0
286,1.0,2.0,4.0,3.0
287,1.0,2.0,5.0,3.0
288,1.0,2.0,5.0,3.0
289,1.0,2.0,5.0,3.0
290,1.0,3.0,5.0,3.0
291,1.0,4.0,6.0,3.0
292,1.0,5.0,6.0,3.0
293,1.0,5.0,6.0,3.0
294,1.0,6.0,7.0,4.0
295,1.0,4.0,6.0,3.0
296,2.0,4.0,4.0,2.0
297,2.0,4.0,4.0,1.0
298,2.0,4.0,4.0,1.0
299,1.0,4.0,3.0,1.0
300,1.0,5.0,2.0,2.0
301,0.0,4.0,1.0,2.0
302,0.0,3.0,0.0,2.0
303,1.0,2.0,0.0,2.0
304,1.0,2.0,0.0,1.0
305,1.0,1.0,1.0,1.0
306,0.0,1.0,2.0,1.0
307,1.0,1.0,2.0,1.0
308,1.0,1.0,2.0,1.0
309,1.0,1.0,2.0,1.0
310,1.0,1.0,3.0,1.0
311,1.0,1.0,4.0,1.0
312,1.0,1.0,4.0,1.0
313,1.0,1.0,4.0,1.0
314,1.0,2.0,4.0,2.0
315,2.0,3.0,4.0,2.0
316,3.0,3.0,4.0,2.0
317,3.0,3.0,4.0,2.0
318,4.0,4.0,5.0,2.0
319,3.0,4.0,5.0,2.0
320,3.0,3.0,3.0,2.0
321,4.0,3.0,3.0,2.0
322,4.0,3.0,2.0,1.0
323,4.0,3.0,2.0,2.0
324,4.0,3.0,2.0,2.0
