,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
2185,9.27,,9.0,,9.135,0.1349999999999998
2193,1.0,,,0.0,0.5,0.5
2194,5.9,7.93,,,6.915,1.0149999999999997
2205,0.0,1.0,0.0,,0.3333333333333333,0.4714045207910317
2212,11.0,13.0,1.0,,8.333333333333334,5.2493385826745405
2217,8.0,,,,8.0,0.0
2243,2.0,0.0,7.0,9.46,4.615,3.784795238847143
2250,8.0,,,,8.0,0.0
2258,3.0,1.0,,,2.0,1.0
2271,9.0,,,,9.0,0.0
2275,10.0,7.53,10.24,,9.256666666666668,1.2248628041086433
2283,7.75,,,,7.75,0.0
2284,1.0,,,,1.0,0.0
2293,0.0,,,1.0,0.5,0.5
2299,10.0,,15.0,,12.5,2.5
2316,23.17,,,,23.17,0.0
2319,0.0,,,,0.0,0.0
2327,12.0,,12.72,,12.36,0.3600000000000003
2341,7.96,8.93,,,8.445,0.48499999999999993
2353,1.0,,,,1.0,0.0
2361,0.0,,12.0,,6.0,6.0
2374,11.96,,,,11.96,0.0
2389,0.0,13.21,,,6.605,6.605
2392,0.0,,,,0.0,0.0
2404,11.3,,,,11.3,0.0
2414,9.63,,,,9.63,0.0
2429,2.0,,,1.0,1.5,0.5
2431,0.0,,,,0.0,0.0
2432,0.0,,,,0.0,0.0
2436,10.0,,,,10.0,0.0
2438,7.0,,8.61,,7.805,0.8049999999999997
2443,7.72,1.02,,,4.37,3.35
2444,0.0,,,,0.0,0.0
2448,2.0,,,,2.0,0.0
2465,7.79,,9.79,,8.79,0.9999999999999996
2473,0.0,,,,0.0,0.0
2475,1.0,,,,1.0,0.0
2487,6.0,,11.0,,8.5,2.5
2496,6.94,,,,6.94,0.0
2498,1.0,,7.44,,4.220000000000001,3.22
2502,0.0,0.0,,,0.0,0.0
2504,0.0,0.0,6.52,,2.1733333333333333,3.0735574755575263
2510,8.0,,,0.0,4.0,4.0
2519,4.21,,,1.0,2.605,1.605
2534,10.0,,,,10.0,0.0
2549,9.77,,,,9.77,0.0
2553,0.0,,,,0.0,0.0
2580,13.0,12.0,3.7,,9.566666666666666,4.16839963961657
2586,7.0,12.0,0.0,,6.333333333333333,4.9216076867444665
2591,3.96,,,,3.96,0.0
2602,0.0,,,,0.0,0.0
2606,0.0,4.89,7.0,,3.9633333333333334,2.93189737579988
2612,12.0,18.92,,,15.46,3.460000000000001
2615,6.0,,7.16,,6.58,0.5800000000000001
2619,8.05,,,,8.05,0.0
2621,7.37,,,,7.37,0.0
2630,0.0,,,,0.0,0.0
2640,12.0,,,,12.0,0.0
2652,7.62,10.0,,1.0,6.206666666666667,3.807723145864935
2661,0.0,,,,0.0,0.0
2666,1.0,,,,1.0,0.0
2667,0.0,,,11.81,5.905,5.905
2668,0.0,,,,0.0,0.0
2670,12.0,,,,12.0,0.0
2677,7.0,,,,7.0,0.0
2720,1.0,,8.88,,4.94,3.9400000000000004
2733,0.0,,,,0.0,0.0
2735,0.0,,,13.51,6.755,6.755
2745,12.0,,,0.0,6.0,6.0
2746,14.0,,,,14.0,0.0
2769,10.55,,,,10.55,0.0
