,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
5109,15.63,,,,15.63,0.0
5113,36.28,,,,36.28,0.0
5114,10.52,,,,10.52,0.0
5115,17.02,,,,17.02,0.0
5163,7.37,,,,7.37,0.0
5171,30.55,,,,30.55,0.0
5189,3.97,,,,3.97,0.0
5207,8.3,,17.759999999999998,,13.03,4.729999999999999
5216,24.22,,,,24.22,0.0
5220,8.42,,,,8.42,0.0
5224,9.13,,,,9.13,0.0
5285,5.35,,,,5.35,0.0
5295,22.81,,,,22.81,0.0
5301,19.66,,10.12,,14.89,4.7700000000000005
5326,5.92,39.08,,,22.5,16.58
5353,21.770000000000003,,,,21.770000000000003,0.0
5380,11.63,,,,11.63,0.0
5403,9.82,,,,9.82,0.0
5411,18.05,,,,18.05,0.0
5423,8.73,,,,8.73,0.0
5445,22.700000000000003,,,,22.700000000000003,0.0
5448,7.539999999999999,3.97,,,5.755,1.7849999999999995
5449,11.33,,,,11.33,0.0
5458,10.45,,,,10.45,0.0
5473,9.030000000000001,,,,9.030000000000001,0.0
5504,8.1,,,12.42,10.26,2.16
5514,,,,8.28,8.28,0.0
5520,,,,9.11,9.11,0.0
