,Dwell_100,Dwell_101,Dwell_102,Dwell_103,mean,std
1211,4.14,3.34,,6.85,4.776666666666666,1.5020060659738437
1212,5.9,,6.52,12.09,8.17,2.7833912169629813
1213,12.18,7.26,2.92,3.22,6.395,3.754021177351028
1214,4.97,22.24,8.16,13.78,12.2875,6.554805012355439
1216,8.27,7.16,21.77,3.71,10.227500000000001,6.872926505499677
1218,5.98,15.59,20.91,3.06,11.385000000000002,7.19248392420866
1219,11.53,8.23,17.51,3.19,10.114999999999998,5.200891750459723
1221,2.84,6.449999999999999,,,4.645,1.8049999999999997
1223,8.86,,9.66,3.34,7.286666666666666,2.809760764825994
1224,4.699999999999999,9.620000000000001,8.36,9.11,7.9475,1.9277626280224442
1225,4.43,3.37,20.65,12.63,10.27,6.982649926782811
1227,6.84,9.3,10.37,2.99,7.375,2.8368159968528097
1228,15.59,6.109999999999999,18.54,15.32,13.889999999999999,4.665988641220636
1229,14.58,10.26,3.62,,9.486666666666666,4.507692191009595
1230,12.78,,5.390000000000001,9.31,9.160000000000002,3.0188187535303714
1231,10.98,8.190000000000001,,,9.585,1.3949999999999996
1232,8.08,24.19,3.36,3.08,9.6775,8.611075353868413
1233,7.09,6.73,16.73,,10.183333333333334,4.631524826903362
1234,13.03,,5.800000000000001,17.58,12.136666666666665,4.850473058258223
1240,4.11,11.86,9.120000000000001,3.42,7.1274999999999995,3.507758365395199
1241,8.76,6.279999999999999,7.37,13.44,8.9625,2.730424646460693
1242,6.7,15.09,,12.94,11.576666666666666,3.5582798590829747
1243,7.73,,,6.380000000000001,7.055000000000001,0.6749999999999998
1244,8.3,13.43,2.28,3.44,6.862500000000001,4.41336818654415
1245,3.65,6.21,9.8,9.66,7.33,2.5654726660013356
1246,9.87,,,14.03,11.95,2.08
1247,22.29,14.24,5.71,6.8,12.26,6.656489314946731
1249,4.49,,9.17,12.11,8.59,3.13776990870905
1250,6.52,,,9.04,7.779999999999999,1.2599999999999998
1251,3.41,2.83,,6.09,4.11,1.4199530508670581
1252,17.3,2.17,18.81,6.42,11.175,7.062380972448314
1255,10.74,,10.54,19.91,13.729999999999999,4.3706826316568295
1256,9.49,4.9,19.85,13.23,11.8675,5.472094548708018
1257,4.58,2.46,5.94,18.31,7.8225,6.180648732131603
1258,6.69,3.08,10.51,16.16,9.11,4.844579445111825
1259,10.23,3.71,2.94,3.17,5.012500000000001,3.025263418282778
1260,6.85,6.01,3.42,,5.426666666666667,1.459779283164258
1261,8.030000000000001,12.39,23.9,9.08,13.35,6.299988095226847
1262,7.539999999999999,7.01,10.13,8.42,8.275,1.183480037854463
1263,3.44,,11.71,3.64,6.263333333333333,3.8522403294129455
1266,2.99,11.27,3.47,15.46,8.2975,5.28231660826952
1267,15.86,10.93,5.31,,10.700000000000001,4.310088939530908
1268,1.86,5.36,12.82,3.06,5.7749999999999995,4.257425865473174
1270,5.640000000000001,,7.31,7.23,6.726666666666667,0.769083148228388
1271,11.04,5.27,6.4,,7.57,2.4966510902940895
1273,15.46,,19.06,9.06,14.526666666666666,4.135483311805552
1274,15.2,,,3.6,9.4,5.8
1276,11.94,,4.56,6.87,7.79,3.0823043328003807
1277,9.78,,3.46,,6.619999999999999,3.1599999999999997
1279,6.17,23.22,16.42,3.75,12.39,7.856013620151126
1280,3.12,2.64,5.94,,3.9,1.4557472308062278
1281,8.39,13.77,11.22,10.93,11.0775,1.904880245579758
1282,7.390000000000001,3.12,8.66,13.1,8.0675,3.5571714535568844
1283,5.3,2.89,13.18,6.57,6.984999999999999,3.813086020535073
1284,7.47,14.62,5.81,9.629999999999999,9.3825,3.3133470615074416
1285,6.91,13.29,15.78,3.38,9.84,4.937170242152887
1286,5.44,8.18,9.48,9.14,8.06,1.5860012610335465
1287,5.0,3.96,11.3,13.41,8.4175,4.024378057538829
