,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
2338,8.45,,,,8.45,0.0
2346,0.0,,,,0.0,0.0
2377,10.97,,,,10.97,0.0
2395,0.0,,,,0.0,0.0
2428,0.0,,,,0.0,0.0
2435,0.0,,,,0.0,0.0
2437,9.0,,,,9.0,0.0
2450,0.0,,,,0.0,0.0
2472,0.0,0.0,,0.0,0.0,0.0
2483,10.0,,,,10.0,0.0
2485,8.0,,,,8.0,0.0
2488,0.0,,,,0.0,0.0
2538,7.0,,,,7.0,0.0
2545,7.61,,,,7.61,0.0
2552,0.0,,,,0.0,0.0
2556,0.0,,,,0.0,0.0
2562,4.18,,1.0,,2.59,1.5899999999999999
2574,0.0,,,,0.0,0.0
2576,0.0,,,,0.0,0.0
2578,12.0,,,,12.0,0.0
2592,0.0,,,,0.0,0.0
2595,0.0,11.12,,,5.56,5.56
2601,0.0,9.0,,0.0,3.0,4.242640687119285
2605,1.0,,0.0,,0.5,0.5
2628,0.0,,,,0.0,0.0
2650,9.0,,,,9.0,0.0
2651,0.0,,,,0.0,0.0
2683,0.0,,,,0.0,0.0
2684,0.0,,,,0.0,0.0
2696,12.0,,,,12.0,0.0
2698,0.0,,,,0.0,0.0
2702,7.0,,,,7.0,0.0
2703,6.77,,,,6.77,0.0
2704,5.61,,,,5.61,0.0
2730,9.25,,,,9.25,0.0
2753,12.0,,,,12.0,0.0
2759,7.0,,,,7.0,0.0
2765,10.42,,,,10.42,0.0
2782,0.0,,,,0.0,0.0
2794,8.91,,,,8.91,0.0
2821,6.0,,,,6.0,0.0
2830,0.0,,,,0.0,0.0
2836,0.0,,,,0.0,0.0
2839,0.0,,,,0.0,0.0
2840,12.0,,,,12.0,0.0
2857,0.0,,,,0.0,0.0
2884,8.17,,,,8.17,0.0
2901,0.0,,,12.28,6.14,6.14
2919,10.04,,,,10.04,0.0
2940,0.0,,,,0.0,0.0
2941,0.0,,,,0.0,0.0
2947,1.0,,,,1.0,0.0
2964,11.79,,,,11.79,0.0
2976,0.0,,,,0.0,0.0
2995,8.33,,,,8.33,0.0
2996,7.16,,7.34,,7.25,0.08999999999999986
2998,7.08,,,,7.08,0.0
3036,0.0,,,,0.0,0.0
3057,7.6,,,,7.6,0.0
3064,2.0,,,,2.0,0.0
3066,2.0,,,,2.0,0.0
3084,0.0,,,,0.0,0.0
