,liq_100,liq_101,liq_102,liq_103
259,6.0,2.0,2.0,4.0
260,7.0,2.0,3.0,5.0
261,7.0,2.0,6.0,6.0
262,7.0,2.0,7.0,6.0
263,8.0,3.0,8.0,6.0
264,10.0,6.0,9.0,8.0
265,10.0,6.0,10.0,9.0
266,10.0,8.0,13.0,10.0
267,10.0,10.0,13.0,10.0
268,11.0,10.0,13.0,10.0
269,12.0,12.0,15.0,11.0
270,12.0,12.0,15.0,13.0
271,9.0,8.0,12.0,10.0
272,5.0,6.0,11.0,7.0
273,4.0,8.0,10.0,6.0
274,2.0,10.0,8.0,4.0
275,3.0,13.0,9.0,2.0
276,6.0,11.0,6.0,1.0
277,5.0,9.0,6.0,3.0
278,5.0,7.0,6.0,3.0
279,3.0,7.0,8.0,3.0
280,1.0,7.0,7.0,2.0
281,1.0,7.0,5.0,3.0
282,0.0,6.0,5.0,3.0
283,0.0,7.0,8.0,7.0
284,1.0,8.0,8.0,8.0
285,2.0,9.0,10.0,8.0
286,4.0,9.0,12.0,9.0
287,4.0,10.0,12.0,9.0
288,4.0,10.0,12.0,10.0
289,4.0,11.0,13.0,11.0
290,7.0,12.0,15.0,13.0
291,7.0,13.0,15.0,14.0
292,8.0,14.0,16.0,15.0
293,9.0,16.0,16.0,17.0
294,11.0,17.0,16.0,19.0
295,10.0,14.0,13.0,15.0
296,8.0,14.0,11.0,14.0
297,8.0,13.0,9.0,13.0
298,6.0,12.0,9.0,13.0
299,6.0,9.0,9.0,12.0
300,6.0,8.0,10.0,13.0
301,8.0,8.0,7.0,12.0
302,6.0,7.0,5.0,11.0
303,8.0,8.0,2.0,11.0
304,5.0,10.0,2.0,10.0
305,2.0,9.0,5.0,9.0
306,1.0,6.0,7.0,6.0
307,2.0,7.0,9.0,7.0
308,2.0,7.0,9.0,9.0
309,4.0,7.0,12.0,10.0
310,6.0,8.0,13.0,12.0
311,7.0,8.0,13.0,12.0
312,9.0,8.0,13.0,13.0
313,10.0,9.0,16.0,15.0
314,10.0,10.0,16.0,16.0
315,12.0,11.0,16.0,17.0
316,12.0,12.0,18.0,18.0
317,13.0,12.0,19.0,19.0
318,14.0,13.0,19.0,20.0
319,10.0,9.0,15.0,16.0
320,8.0,9.0,11.0,13.0
321,8.0,9.0,12.0,13.0
322,9.0,9.0,11.0,11.0
323,7.0,9.0,9.0,11.0
324,8.0,9.0,9.0,10.0
325,7.0,8.0,10.0,9.0
326,5.0,5.0,7.0,10.0
327,4.0,6.0,5.0,10.0
328,2.0,6.0,4.0,8.0
329,0.0,4.0,4.0,6.0
330,1.0,7.0,5.0,7.0
331,1.0,9.0,5.0,7.0
332,2.0,9.0,6.0,7.0
333,5.0,10.0,7.0,8.0
334,5.0,10.0,9.0,10.0
335,6.0,11.0,9.0,10.0
336,6.0,13.0,10.0,10.0
337,7.0,13.0,11.0,10.0
338,9.0,13.0,11.0,12.0
339,10.0,13.0,11.0,15.0
340,11.0,17.0,14.0,19.0
341,11.0,17.0,15.0,19.0
342,12.0,18.0,15.0,20.0
343,11.0,15.0,13.0,16.0
344,10.0,13.0,12.0,13.0
345,9.0,11.0,9.0,14.0
346,9.0,11.0,10.0,14.0
347,8.0,11.0,10.0,14.0
348,13.0,10.0,10.0,13.0
349,11.0,8.0,9.0,14.0
350,9.0,6.0,9.0,11.0
351,5.0,5.0,9.0,10.0
352,2.0,3.0,7.0,8.0
353,1.0,3.0,4.0,5.0
354,2.0,5.0,2.0,5.0
355,4.0,5.0,4.0,5.0
356,5.0,7.0,4.0,10.0
357,6.0,7.0,4.0,11.0
358,9.0,9.0,5.0,12.0
359,10.0,9.0,6.0,12.0
360,10.0,10.0,8.0,12.0
361,11.0,11.0,10.0,14.0
362,11.0,13.0,11.0,16.0
363,11.0,14.0,11.0,17.0
364,11.0,14.0,13.0,17.0
365,12.0,15.0,13.0,21.0
366,15.0,16.0,14.0,21.0
367,10.0,13.0,10.0,18.0
368,8.0,9.0,10.0,17.0
369,7.0,8.0,9.0,15.0
370,7.0,9.0,8.0,14.0
371,6.0,10.0,6.0,15.0
372,8.0,9.0,5.0,12.0
373,6.0,6.0,6.0,12.0
374,5.0,8.0,5.0,10.0
375,4.0,6.0,4.0,11.0
376,2.0,2.0,3.0,9.0
377,2.0,0.0,2.0,9.0
378,1.0,3.0,0.0,9.0
379,2.0,5.0,2.0,11.0
380,2.0,7.0,3.0,13.0
381,3.0,9.0,4.0,13.0
382,8.0,9.0,5.0,14.0
383,9.0,9.0,7.0,14.0
384,10.0,11.0,8.0,15.0
385,12.0,12.0,10.0,15.0
386,13.0,12.0,10.0,15.0
387,14.0,13.0,11.0,16.0
388,15.0,13.0,11.0,17.0
389,16.0,15.0,11.0,17.0
390,16.0,17.0,12.0,20.0
391,12.0,16.0,10.0,16.0
392,10.0,15.0,9.0,13.0
393,9.0,16.0,8.0,13.0
394,11.0,13.0,8.0,13.0
395,10.0,17.0,9.0,13.0
396,7.0,17.0,7.0,12.0
397,6.0,14.0,7.0,11.0
398,7.0,13.0,6.0,9.0
399,5.0,13.0,4.0,8.0
400,5.0,11.0,5.0,8.0
401,3.0,6.0,3.0,6.0
402,0.0,4.0,2.0,7.0
403,1.0,5.0,3.0,7.0
404,4.0,6.0,4.0,7.0
405,5.0,6.0,5.0,8.0
406,6.0,7.0,7.0,8.0
407,7.0,8.0,8.0,9.0
408,8.0,10.0,10.0,10.0
409,10.0,11.0,11.0,10.0
410,11.0,13.0,12.0,10.0
411,11.0,13.0,13.0,12.0
412,11.0,14.0,15.0,13.0
413,14.0,15.0,16.0,13.0
414,16.0,15.0,17.0,14.0
415,12.0,10.0,17.0,11.0
416,13.0,9.0,15.0,8.0
417,13.0,10.0,16.0,7.0
418,13.0,12.0,18.0,8.0
419,11.0,11.0,19.0,8.0
420,12.0,8.0,17.0,8.0
421,9.0,6.0,12.0,4.0
422,6.0,6.0,8.0,5.0
423,4.0,5.0,8.0,4.0
424,1.0,5.0,4.0,3.0
425,2.0,6.0,3.0,4.0
426,4.0,5.0,3.0,2.0
427,5.0,5.0,5.0,4.0
428,8.0,5.0,5.0,7.0
429,10.0,5.0,6.0,8.0
430,10.0,5.0,7.0,9.0
431,15.0,5.0,7.0,9.0
432,16.0,6.0,9.0,11.0
433,16.0,7.0,9.0,12.0
434,18.0,8.0,9.0,13.0
435,21.0,9.0,9.0,14.0
436,23.0,11.0,12.0,17.0
437,25.0,11.0,12.0,17.0
438,25.0,13.0,14.0,19.0
439,20.0,10.0,11.0,16.0
440,16.0,11.0,9.0,15.0
441,15.0,10.0,13.0,11.0
442,12.0,8.0,14.0,10.0
443,13.0,8.0,12.0,11.0
444,9.0,7.0,8.0,12.0
445,7.0,5.0,5.0,9.0
446,6.0,4.0,5.0,7.0
447,4.0,3.0,5.0,4.0
448,3.0,3.0,3.0,3.0
449,2.0,3.0,3.0,2.0
450,3.0,4.0,3.0,2.0
451,3.0,8.0,4.0,4.0
452,4.0,9.0,7.0,6.0
453,4.0,10.0,9.0,8.0
454,5.0,10.0,9.0,10.0
455,5.0,10.0,9.0,13.0
456,5.0,11.0,10.0,13.0
457,5.0,11.0,11.0,14.0
458,5.0,14.0,11.0,14.0
459,7.0,14.0,12.0,14.0
460,7.0,15.0,14.0,18.0
461,7.0,15.0,14.0,18.0
462,7.0,15.0,16.0,18.0
463,3.0,10.0,12.0,14.0
464,3.0,7.0,13.0,11.0
465,4.0,6.0,12.0,9.0
466,5.0,4.0,11.0,10.0
467,4.0,3.0,9.0,8.0
468,3.0,4.0,9.0,7.0
469,3.0,2.0,10.0,7.0
470,4.0,3.0,10.0,8.0
471,3.0,2.0,10.0,6.0
472,2.0,3.0,9.0,5.0
473,2.0,3.0,6.0,6.0
474,1.0,4.0,4.0,6.0
475,2.0,4.0,5.0,6.0
476,2.0,4.0,6.0,6.0
477,2.0,8.0,7.0,6.0
478,3.0,10.0,8.0,6.0
479,4.0,10.0,11.0,6.0
480,5.0,10.0,12.0,7.0
481,5.0,11.0,13.0,7.0
482,6.0,11.0,16.0,9.0
483,7.0,13.0,16.0,10.0
484,7.0,13.0,17.0,10.0
485,8.0,14.0,18.0,10.0
486,9.0,14.0,18.0,12.0
487,6.0,10.0,14.0,9.0
488,3.0,10.0,13.0,8.0
489,4.0,8.0,14.0,7.0
490,2.0,9.0,13.0,6.0
491,1.0,8.0,11.0,5.0
492,1.0,8.0,9.0,7.0
493,1.0,5.0,9.0,7.0
494,1.0,2.0,8.0,5.0
495,4.0,2.0,7.0,5.0
496,7.0,1.0,6.0,6.0
497,8.0,1.0,5.0,3.0
498,6.0,0.0,9.0,1.0
499,6.0,3.0,9.0,2.0
500,7.0,3.0,9.0,3.0
