,channel_100,channel_101,channel_102,channel_103
509,0,0,0,0
510,1,0,0,0
511,0,0,0,0
512,0,0,0,0
513,5,8,12,8
514,6,7,11,7
515,7,5,8,6
516,4,4,5,5
517,2,4,3,4
518,3,5,5,6
519,3,4,2,9
520,4,7,4,10
521,7,3,4,5
522,10,2,4,2
523,7,4,2,7
524,4,4,3,9
525,1,1,2,5
526,0,1,1,1
527,0,0,0,0
528,0,0,0,1
529,0,0,0,0
530,1,0,0,0
531,0,0,1,0
532,0,0,0,0
533,0,0,0,0
534,0,0,0,0
535,0,0,0,0
536,0,0,0,0
537,7,7,10,7
538,5,4,6,7
539,5,3,4,6
540,5,1,3,5
541,7,3,7,4
542,7,2,6,6
543,5,1,6,3
544,7,1,5,4
545,5,1,4,6
546,6,2,5,4
547,2,1,7,2
548,4,3,4,4
549,1,0,1,1
550,1,0,0,1
551,0,0,0,0
552,0,0,0,0
553,0,0,0,0
554,0,1,0,0
555,0,0,0,0
556,0,0,0,0
557,0,0,0,0
558,0,0,0,0
559,0,0,0,0
560,0,0,0,0
561,9,6,4,10
562,10,6,4,12
563,6,5,4,7
564,5,2,7,4
565,8,1,4,4
566,8,3,5,4
567,5,4,4,2
568,4,4,5,4
569,4,6,2,4
570,4,4,2,4
571,7,1,0,4
572,6,3,1,4
573,3,2,0,4
574,0,1,0,2
575,0,0,0,0
576,0,0,0,0
577,0,0,0,0
578,0,0,0,0
579,0,0,0,0
580,0,0,0,0
581,0,0,0,0
582,0,0,0,0
583,0,0,0,0
584,0,0,0,0
585,5,5,8,8
586,9,5,6,7
587,8,2,4,6
588,7,5,3,4
589,7,5,3,4
590,4,5,6,4
591,6,5,7,4
592,7,6,7,5
593,8,6,7,4
594,5,8,4,3
595,4,5,4,3
596,3,4,6,3
597,0,2,3,1
598,0,1,1,1
599,0,0,0,0
600,0,0,0,0
601,0,0,0,0
602,0,0,0,0
603,0,0,0,0
604,0,0,0,0
605,0,0,0,0
606,0,0,0,0
607,0,0,0,0
608,0,0,0,0
609,8,11,6,8
610,6,11,5,6
611,5,9,6,5
612,4,6,6,6
613,7,4,12,6
614,4,3,9,2
615,5,6,8,5
616,7,5,3,6
617,6,4,5,7
618,2,7,4,5
619,3,7,5,4
620,3,6,4,2
621,1,3,4,1
622,0,1,2,1
623,0,0,0,0
624,0,0,0,0
625,0,0,0,0
626,0,0,0,0
627,0,0,0,0
628,0,0,0,0
629,0,0,0,0
630,0,0,0,0
631,0,0,0,0
632,0,0,0,0
633,8,9,9,10
634,5,9,8,9
635,4,5,5,6
636,6,6,4,5
637,5,7,5,5
638,6,2,6,2
639,5,4,7,5
640,3,5,5,5
641,6,7,3,6
642,7,6,6,3
643,3,4,7,1
644,2,6,5,1
645,2,3,2,1
646,1,1,0,0
647,0,0,0,0
648,1,0,0,0
649,0,0,0,0
650,0,0,0,0
651,0,0,0,0
652,0,0,0,0
653,0,0,0,0
654,0,0,0,0
655,0,0,0,0
656,0,0,0,0
657,6,6,10,6
658,6,5,8,8
659,5,7,4,8
660,5,8,3,8
661,4,10,4,6
662,4,10,3,3
663,3,10,4,3
664,6,8,5,4
665,4,8,1,5
666,3,7,3,10
667,3,6,5,9
668,1,7,2,6
669,1,4,1,0
670,0,3,1,0
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,0,0,0,0
675,0,0,0,0
676,0,0,0,0
677,0,0,0,0
678,0,0,0,0
679,0,0,0,0
680,0,0,0,0
681,9,8,7,10
682,11,8,5,9
683,7,7,3,3
684,6,4,2,7
685,4,3,4,6
686,6,4,9,4
687,5,7,3,10
688,6,7,2,11
689,6,5,2,10
690,3,3,3,7
691,5,3,4,6
692,6,4,4,3
693,3,0,2,1
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,0,0,0
699,0,0,0,0
700,0,0,0,0
701,0,0,0,0
702,0,0,0,0
703,0,0,0,0
704,0,0,0,0
705,8,9,8,7
706,11,8,9,6
707,8,5,11,8
708,7,3,6,4
709,4,3,1,3
710,8,7,4,6
711,7,6,3,7
712,8,5,1,9
713,5,5,1,6
714,4,8,5,6
715,1,8,5,5
716,1,3,7,3
717,0,2,3,2
718,0,0,1,0
719,0,0,0,0
720,1,0,0,0
721,0,0,0,0
722,0,0,0,0
723,0,0,0,0
724,0,0,0,0
725,0,0,0,0
726,0,0,0,0
727,0,0,0,0
728,0,0,0,0
729,7,14,10,8
730,6,12,6,10
731,4,6,4,8
732,5,6,5,7
733,4,5,6,4
734,7,2,1,6
735,7,5,3,6
736,6,5,7,6
737,6,2,9,4
738,5,3,6,4
