,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
3949,14.78,,10.57,,12.675,2.1049999999999995
3959,6.41,,,,6.41,0.0
3960,6.8,,,,6.8,0.0
3966,3.8,1.0,12.0,,5.6000000000000005,4.667618950457146
3982,8.0,,,,8.0,0.0
3985,10.83,,,,10.83,0.0
3988,9.95,,0.0,3.06,4.336666666666667,4.161172377534431
3991,7.27,0.0,,0.93,2.733333333333333,3.230297543914836
3995,9.940000000000001,,10.0,,9.97,0.02999999999999936
3997,5.75,,,,5.75,0.0
3998,6.41,,,0.0,3.205,3.205
4000,5.82,,,,5.82,0.0
4001,6.48,,,,6.48,0.0
4005,19.5,,,,19.5,0.0
4006,18.0,,,,18.0,0.0
4022,13.47,,,,13.47,0.0
4026,11.07,,,0.0,5.535,5.535
4047,13.0,,,,13.0,0.0
4048,8.0,0.0,2.0,,3.3333333333333335,3.39934634239519
4057,12.95,0.0,,,6.475,6.475
4065,23.28,,9.28,,16.28,7.000000000000001
4073,1.0,,,,1.0,0.0
4078,11.0,,,,11.0,0.0
4082,8.0,,,,8.0,0.0
4086,11.1,,,,11.1,0.0
4092,0.0,,,,0.0,0.0
4097,0.0,,8.0,,4.0,4.0
4103,10.0,,,9.28,9.64,0.3600000000000003
4111,7.51,,,,7.51,0.0
4129,0.0,6.17,,,3.085,3.085
4130,13.0,6.06,,,9.53,3.47
4135,12.0,,,,12.0,0.0
4145,8.64,0.0,0.0,,2.8800000000000003,4.072935059634514
4147,7.83,,0.0,,3.915,3.915
4154,0.0,,,,0.0,0.0
4155,1.0,,,,1.0,0.0
4173,7.22,,3.89,,5.555,1.6649999999999998
4181,0.0,,,,0.0,0.0
4192,11.0,,,,11.0,0.0
4193,10.0,,,,10.0,0.0
4195,9.0,9.72,,9.0,9.24,0.3394112549695431
4196,10.0,,,10.0,10.0,0.0
4200,8.0,0.0,,,4.0,4.0
4218,0.0,,,,0.0,0.0
4227,10.0,6.47,,7.0,7.823333333333333,1.5542701037964912
4228,11.0,,,,11.0,0.0
4238,9.79,,13.0,,11.395,1.6050000000000004
4239,9.85,,12.0,,10.925,1.0750000000000002
4251,1.0,9.34,,10.0,6.78,4.095949218435209
4253,0.0,,10.75,,5.375,5.375
4266,7.0,,,,7.0,0.0
4272,9.46,22.65,,,16.055,6.594999999999999
4305,0.0,,,,0.0,0.0
4316,3.49,,,,3.49,0.0
4318,2.49,,,,2.49,0.0
4325,0.0,,10.73,,5.365,5.365
4327,0.0,4.0,,,2.0,2.0
4330,0.0,,12.71,6.79,6.5,5.192886159609767
4332,13.0,,12.38,,12.690000000000001,0.3099999999999996
4336,11.0,,,1.0,6.0,5.0
4343,7.0,,,1.0,4.0,3.0
4345,7.54,,11.0,,9.27,1.73
4350,10.58,,,,10.58,0.0
4353,9.58,,7.0,,8.29,1.29
4358,0.0,,,,0.0,0.0
4361,0.0,,,,0.0,0.0
4365,15.02,,5.82,,10.42,4.6
4366,0.25,0.0,,,0.125,0.125
4367,1.51,,2.99,0.0,1.5,1.2206828689986056
4368,14.38,,,,14.38,0.0
4378,16.79,13.0,,,14.895,1.8949999999999996
4383,11.84,,,,11.84,0.0
4395,2.67,,,,2.67,0.0
4427,1.0,,,,1.0,0.0
4430,0.0,,9.62,,4.81,4.81
4434,1.0,,,,1.0,0.0
4438,1.0,0.0,,,0.5,0.5
4443,11.0,,,0.0,5.5,5.5
4448,7.0,,9.0,,8.0,1.0
4451,10.93,,,,10.93,0.0
4453,11.5,,8.93,,10.215,1.2850000000000001
4457,0.0,,7.8,13.56,7.12,5.5566896620200055
4464,0.0,,,,0.0,0.0
4466,0.0,,,,0.0,0.0
4467,0.0,,0.0,,0.0,0.0
4470,0.0,,,,0.0,0.0
4485,10.28,,10.28,13.71,11.423333333333332,1.6169175063132393
4487,0.0,,,,0.0,0.0
4490,0.0,,11.09,,5.545,5.545
4500,10.0,,,,10.0,0.0
4501,9.0,,3.0,,6.0,3.0
4504,9.0,0.0,1.0,,3.3333333333333335,4.0276819911981905
4518,1.0,,,,1.0,0.0
4519,0.0,7.0,,,3.5,3.5
4527,1.0,,,,1.0,0.0
4528,1.0,6.86,,,3.93,2.93
4530,12.0,,,,12.0,0.0
4532,11.0,,,,11.0,0.0
4534,12.0,,,,12.0,0.0
4541,9.0,,,,9.0,0.0
4545,9.0,,,,9.0,0.0
4556,8.05,1.0,0.0,,3.016666666666667,3.5824417495458163
4559,5.64,,,0.0,2.82,2.82
4561,3.5,,,1.0,2.25,1.25
4567,0.45,,,10.46,5.455,5.005000000000001
4594,0.0,,,,0.0,0.0
4596,13.0,,,,13.0,0.0
4602,9.0,,,,9.0,0.0
4611,9.11,9.9,,,9.504999999999999,0.39500000000000046
4612,8.67,7.83,,,8.25,0.41999999999999993
4613,11.0,,,,11.0,0.0
4617,0.0,,,,0.0,0.0
4630,12.0,,,,12.0,0.0
4648,11.55,5.9,6.47,,7.973333333333334,2.539768143398571
4657,0.0,12.0,,,6.0,6.0
4658,0.0,,,,0.0,0.0
4668,14.0,,,,14.0,0.0
4691,0.0,,,,0.0,0.0
4695,0.0,,,,0.0,0.0
4706,11.0,,,9.0,10.0,1.0
4708,6.0,,,,6.0,0.0
4723,0.0,0.0,,1.0,0.3333333333333333,0.4714045207910317
4739,11.0,,,,11.0,0.0
4743,11.02,,,,11.02,0.0
4748,11.83,,,,11.83,0.0
4760,24.5,,,,24.5,0.0
4761,2.0,,,,2.0,0.0
4762,0.0,,,,0.0,0.0
4774,12.0,,,,12.0,0.0
4785,25.35,,,,25.35,0.0
4799,9.280000000000001,8.56,,,8.920000000000002,0.3600000000000003
4809,27.28,,,,27.28,0.0
4814,24.17,,,,24.17,0.0
4833,15.5,,,,15.5,0.0
4843,0.0,,,,0.0,0.0
4856,7.0,,,,7.0,0.0
4857,7.0,,,,7.0,0.0
4861,8.46,,,,8.46,0.0
4865,7.98,,,,7.98,0.0
4886,9.0,,,,9.0,0.0
4898,0.0,,,6.96,3.48,3.48
4904,13.0,,,,13.0,0.0
4907,12.0,,,,12.0,0.0
