,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1216,11.16,5.19,8.0,9.19,8.385,2.1624580920794743
1218,0.0,8.09,7.0,0.0,3.7725,3.792132480544423
1219,0.0,6.32,5.0,0.0,2.83,2.868222446045634
1221,0.0,5.82,,,2.91,2.91
1223,1.0,,6.85,1.0,2.9499999999999997,2.7577164466275352
1224,0.0,0.0,6.48,2.28,2.19,2.645959183358655
1225,0.0,5.38,5.69,1.0,3.0175,2.5445665151455565
1227,0.0,0.0,5.95,0.0,1.4875,2.576425576258705
1228,1.0,0.0,7.09,0.0,2.0225,2.9540681694910154
1229,12.0,0.0,5.82,,5.94,4.8997142773839375
1230,11.0,,0.0,0.0,3.6666666666666665,5.185449728701348
1231,10.0,0.0,,,5.0,5.0
1232,11.0,1.0,0.0,11.0,5.75,5.261891294962297
1233,10.0,1.0,0.0,,3.6666666666666665,4.4969125210773475
1234,10.0,,0.43,10.0,6.81,4.5113412639701735
1240,8.66,8.0,16.4,5.0,9.515,4.2075735287692835
1241,8.5,9.0,0.0,7.0,6.125,3.6120458191999725
1242,8.72,7.0,,7.0,7.573333333333333,0.8108157757605747
1243,9.87,,,9.0,9.434999999999999,0.4349999999999996
1244,8.89,7.0,13.0,5.69,8.645,2.7597146591631536
1245,8.6,8.68,12.0,5.62,8.725,2.2574487812572848
1246,8.54,,,0.0,4.27,4.27
1247,9.16,11.15,11.0,0.0,7.827500000000001,4.58664024641131
1249,9.06,,10.47,0.0,6.510000000000001,4.639116295157947
1250,1.0,,,0.0,0.5,0.5
1251,0.0,11.12,,0.0,3.7066666666666666,5.2420182711962715
1252,0.0,11.89,9.0,0.0,5.2225,5.321514704480295
1255,0.0,,9.05,0.0,3.016666666666667,4.266210913158837
1256,0.0,22.9,11.21,0.0,8.5275,9.47630037250825
1257,0.0,8.95,5.0,1.0,3.7375,3.5435460699700236
1258,13.0,0.0,10.12,0.0,5.779999999999999,5.86900332254123
1259,12.0,0.0,8.04,13.0,8.26,5.1169131319575865
1260,12.0,0.0,8.0,,6.666666666666667,4.988876515698588
1261,12.0,1.0,10.34,9.0,8.085,4.226307489996439
1262,10.0,0.0,7.38,9.0,6.595,3.9207237852212953
1263,9.0,,7.19,8.0,8.063333333333334,0.7402852303147902
1266,4.95,1.0,8.99,8.0,5.735,3.1129447473413334
1267,7.32,2.0,0.0,,3.106666666666667,3.089135082115309
1268,6.01,1.0,2.0,6.0,3.7525,2.2800808647940536
1270,4.7,,1.0,10.42,5.373333333333334,3.8750598561685323
1271,3.0,13.0,0.0,,5.333333333333333,5.557777333511022
1273,1.0,,1.0,11.14,4.38,4.780041840821061
1274,0.0,,,9.19,4.595,4.595
1276,0.0,,12.0,9.88,7.293333333333334,5.229285058420723
1277,0.0,,11.0,,5.5,5.5
1279,12.0,10.0,11.0,0.0,8.25,4.815340071064556
1280,10.0,11.0,10.0,,10.333333333333334,0.4714045207910317
1281,9.0,9.0,9.0,0.0,6.75,3.897114317029974
1282,7.0,10.0,7.0,1.0,6.25,3.2691742076555053
1283,4.0,8.0,7.0,0.0,4.75,3.112474899497183
1284,5.0,11.0,6.0,0.0,5.5,3.905124837953327
1285,5.0,8.0,7.86,0.0,5.215,3.2401658908148514
1286,3.0,10.96,8.04,1.0,5.75,3.953264473824133
1287,4.0,10.25,8.39,1.0,5.91,3.6311912645852185
1288,3.0,9.03,9.68,16.0,9.4275,4.60250678978315
1289,2.0,9.68,9.74,,7.140000000000001,3.6346113960092077
1290,0.0,9.77,8.92,1.0,4.922499999999999,4.446776219914827
1293,0.0,11.25,9.68,0.0,5.2325,5.2618598185432495
1295,0.0,13.12,10.16,12.0,8.82,5.200730717889554
1297,1.0,12.77,23.48,11.0,12.0625,7.974454134923594
1298,0.0,,10.33,11.0,7.109999999999999,5.034964415630627
1299,0.0,23.31,23.01,8.0,13.58,9.98937685744211
1300,12.0,,1.08,9.0,7.359999999999999,4.606430288194971
