,all_100,all_101,all_102,all_103
272,10.0,11.0,16.0,7.0
273,8.0,12.0,15.0,6.0
274,6.0,13.0,13.0,4.0
275,7.0,16.0,13.0,2.0
276,9.0,14.0,10.0,1.0
277,5.0,12.0,10.0,3.0
278,7.0,10.0,8.0,4.0
279,6.0,9.0,8.0,4.0
280,3.0,9.0,7.0,5.0
281,2.0,8.0,5.0,5.0
282,1.0,7.0,7.0,4.0
283,1.0,8.0,11.0,9.0
284,2.0,10.0,11.0,10.0
285,3.0,11.0,15.0,11.0
286,5.0,11.0,17.0,12.0
287,5.0,12.0,18.0,12.0
288,5.0,12.0,18.0,13.0
289,5.0,13.0,19.0,14.0
290,8.0,15.0,21.0,16.0
291,8.0,18.0,22.0,17.0
292,10.0,20.0,23.0,18.0
293,12.0,22.0,23.0,20.0
294,14.0,24.0,24.0,23.0
295,13.0,19.0,20.0,19.0
296,12.0,19.0,16.0,17.0
297,12.0,18.0,15.0,14.0
298,10.0,17.0,15.0,14.0
299,10.0,14.0,13.0,13.0
300,11.0,14.0,13.0,15.0
301,11.0,13.0,9.0,14.0
302,8.0,11.0,5.0,13.0
303,10.0,10.0,2.0,14.0
304,7.0,12.0,2.0,12.0
305,3.0,10.0,6.0,11.0
306,1.0,7.0,9.0,8.0
307,3.0,8.0,11.0,8.0
308,3.0,8.0,11.0,10.0
309,5.0,8.0,14.0,12.0
310,7.0,9.0,16.0,14.0
311,8.0,9.0,17.0,14.0
312,10.0,9.0,17.0,15.0
313,11.0,11.0,20.0,16.0
314,11.0,13.0,20.0,18.0
315,14.0,15.0,20.0,19.0
316,15.0,17.0,22.0,20.0
317,16.0,18.0,23.0,21.0
318,18.0,20.0,24.0,22.0
319,13.0,17.0,21.0,18.0
320,11.0,16.0,15.0,15.0
321,12.0,16.0,16.0,15.0
322,13.0,16.0,14.0,12.0
323,11.0,16.0,11.0,13.0
324,12.0,15.0,11.0,12.0
325,11.0,13.0,11.0,10.0
326,9.0,11.0,10.0,10.0
327,8.0,12.0,8.0,11.0
328,4.0,10.0,8.0,9.0
329,1.0,7.0,8.0,7.0
330,3.0,9.0,7.0,9.0
331,3.0,10.0,7.0,9.0
332,4.0,10.0,8.0,9.0
333,6.0,11.0,11.0,10.0
334,7.0,11.0,13.0,12.0
335,9.0,12.0,13.0,12.0
336,9.0,14.0,13.0,12.0
337,10.0,15.0,14.0,13.0
338,12.0,15.0,14.0,16.0
339,14.0,15.0,15.0,19.0
340,15.0,19.0,18.0,23.0
341,16.0,20.0,20.0,24.0
342,17.0,21.0,20.0,25.0
343,16.0,17.0,17.0,20.0
344,14.0,16.0,14.0,18.0
345,13.0,15.0,12.0,18.0
346,12.0,14.0,13.0,18.0
347,10.0,14.0,14.0,17.0
348,15.0,13.0,15.0,15.0
349,13.0,10.0,14.0,16.0
350,10.0,8.0,11.0,13.0
351,6.0,6.0,10.0,13.0
352,3.0,3.0,7.0,11.0
353,1.0,3.0,4.0,7.0
354,2.0,6.0,3.0,7.0
355,4.0,6.0,5.0,7.0
356,6.0,8.0,5.0,12.0
357,8.0,8.0,5.0,13.0
358,11.0,11.0,7.0,15.0
359,13.0,11.0,8.0,15.0
360,13.0,13.0,10.0,15.0
361,13.0,15.0,12.0,17.0
362,13.0,17.0,14.0,19.0
363,14.0,18.0,15.0,20.0
364,14.0,18.0,17.0,20.0
365,15.0,19.0,17.0,24.0
366,18.0,21.0,19.0,25.0
367,12.0,18.0,15.0,22.0
368,10.0,14.0,14.0,20.0
369,8.0,13.0,14.0,17.0
370,8.0,13.0,12.0,15.0
371,8.0,13.0,9.0,16.0
372,9.0,10.0,9.0,13.0
373,6.0,8.0,9.0,13.0
374,5.0,10.0,6.0,11.0
375,5.0,7.0,5.0,12.0
376,4.0,2.0,3.0,11.0
377,3.0,0.0,4.0,12.0
378,1.0,3.0,2.0,12.0
379,2.0,5.0,4.0,14.0
380,4.0,7.0,4.0,16.0
381,5.0,9.0,5.0,16.0
382,10.0,9.0,6.0,17.0
383,11.0,9.0,8.0,17.0
384,12.0,11.0,10.0,18.0
385,15.0,12.0,14.0,19.0
386,16.0,12.0,14.0,19.0
387,19.0,13.0,15.0,20.0
